台文,台羅,中文,英文
伊佮我的看法並無一致。,I kah guá ê khuànn-huat pīng bô it-tì.,他跟我的看法並不一致。,His opinion is not consistent with mine.
伊一面做工，一面讀冊。,"I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh.",他一邊工作，一邊讀書。,He works and studies at the same time.
一面抹壁雙面光。,Tsi̍t-bīn buah-piah siang-bīn kng.,用抹刀抹牆壁，不但牆壁光滑，連抹刀也光滑。形容人很會做人，雙方面都能討好。,"Using a scraper to smooth the walls not only makes the walls smooth, but also makes the scraper smooth. It describes a person who is very good at dealing with people and can please both sides."
伊食一屑仔飯爾爾。,I tsia̍h tsi̍t-sut-á pn̄g niā-niā.,他吃一點點飯而已。,He just ate a little bit of rice.
𪜶一家伙仔對人攏真客氣。,In tsi̍t-ke-hué-á tuì lâng lóng tsin kheh-khì.,他們一家子對人都很客氣。,They are all very polite to people.
一般人攏真愛面子。,It-puann lâng lóng tsin ài bīn-tsú.,一般人都很愛面子。,Most people care a lot about their reputation.
這擺欲替伊開刀的醫生攏是一粒一的。,Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê.,這次為他開刀的醫生都是最好的。,The doctors who operated on him this time were the best.
阿英佮我是一粒一的好朋友。,A-ing kah guá sī it-lia̍p-it ê hó-pîng-iú.,阿英和我是最要好的朋友。,Ah Ying and I are the best of friends.
伊跤手真緊，穡頭一睏仔就做了矣。,"I kha-tshiú tsin kín, sit-thâu tsi̍t-khùn-á tō tsò-liáu--ah.",他的動作真快，工作一下子就做完了。,"His movements were really fast, and the work was finished in an instant."
遮的物件伊做一睏仔共伊食了。,Tsia ê mi̍h-kiānn i tsò tsi̍t-khùn-á kā i tsia̍h-liáu.,這裡的東西他一口氣把它吃完。,He finished everything here in one breath.
眾人的意見伊一概反對。,Tsìng-lâng ê ì-kiàn i it-khài huán-tuì.,眾人的意見他一概反對。,He opposed everyone's opinions without exception.
祝恁一路平安。,Tsiok lín tsi̍t-lōo pîng-an.,祝福你們一路平安。,Wish you a safe journey.
加減食一寡。,Ke-kiám tsia̍h--tsi̍t-kuá.,多少吃一點。,Eat a little bit more.
猶有一寡仔物件無整理。,Iáu-ū tsi̍t-kuá-á mi̍h-kiānn bô tsíng-lí.,還有一些東西沒整理。,There are still some things that haven't been organized.
藥仔食落去，到今一對時矣。,"Io̍h-á tsia̍h--lo̍h-khì, kàu-tann tsi̍t tuì-sî--ah.",藥吃下，到現在二十四小時了。,"The medicine was taken, and now it has been twenty-four hours."
伊來一霎仔久就轉去矣。,I lâi tsi̍t-tiap-á-kú tō tńg--khì--ah.,他來一下子就回去了。,He came and then left right away.
你才食一點仔物件哪會飽？,Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá?,你才吃一點點東西怎麼會飽？,How can you be full after only eating a little bit of food?
甲乙丙丁,kah it piánn ting,甲乙丙丁,"A, B, C, D"
乙等,it tíng,乙等,second class
出丁,tshut-ting,生男孩子,give birth to a boy
七个人,tshit ê lâng,七個人,seven people
七老八老,tshit-lāu-peh-lāu,強調很老,emphasize very old
七除八扣,tshit-tû-peh-khàu,計算時一再折扣，自總數中盡量減除。,Repeatedly apply discounts during calculation and subtract as much as possible from the total.
十喙九尻川。,Tsa̍p tshuì káu kha-tshng.,形容人多嘴雜。,Describes a person as talkative and gossipy.
三教九流,sam-kàu kiú-liû,三教九流,the three teachings and nine streams.
飯食了才食果子。,Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí.,飯吃完再吃水果。,Eat fruit after finishing the meal.
了解,liáu-kái,了解,understand
了力,liáu-la̍t,白費力氣,Wasted effort
了工,liáu-kang,白費功夫,waste of effort.
了錢生理無人做。,Liáu-tsînn sing-lí bô lâng tsò.,賠錢生意沒人做。,No one does a losing business.
講了真清楚。,Kóng liáu tsin tshing-tshó.,說得很清楚。,It's very clear.
洗了無清氣。,Sé liáu bô tshing-khì.,洗得不乾淨。,not clean after washing.
第二,tē-jī,第二,second
人類,jîn-luī,人類,humanity
人情,jîn-tsîng,人情,human feelings
人事,jîn-sū,人事,Ren Shi (It means human affairs or personnel in English)
聖人,sìng-jîn,聖人,sage
軍人,kun-jîn,軍人,soldier.
做牛著拖，做人著磨。,"Tsò gû tio̍h thua, tsò lâng tio̍h buâ.",做牛得要拖犁耕田，做人得受生活的折磨。,"Doing cattle requires plowing the fields, being human requires enduring the torment of life."
莫共人講！,Mài kā lâng kóng!,不要跟別人說！,Do not tell anyone else!
予人看無,hōo lâng khuànn-bô,讓別人瞧不起,Let others look down upon.
好人,hó-lâng,好人,Good person
讀冊人,tha̍k-tsheh-lâng,讀書人,scholar or reader.
中人,tiong-lâng,仲介者,intermediary
人毋管啦！,Lâng m̄-kuán--lah!,我不管啦！,I don't care!
伊人真好。,I lâng tsin hó.,他待人很好。,He treats people very well.
人無爽快,lâng bô sóng-khuài,身體不舒服,Body is not feeling well
入去,ji̍p--khì,進去,go in
入來,ji̍p--lâi,進來,come in.
入被,ji̍p phuē,把被子裝進被套裡,Put the quilt into the duvet cover.
收入,siu-ji̍p,收入,Income
入數,ji̍p siàu,入帳,entering the account
三八婦女節,Sam-pat Hū-lí-tseh,三八婦女節,International Women's Day
八个人,peh ê lâng,八個人,Eight people
鉸刀,ka-to,剪刀,scissors
伊昨暝去予人刣幾若刀。,I tsa-mê khì hōo lâng thâi kuí-nā to.,他昨晚被人砍了好幾刀。,He was hacked several times last night.
伊欲買一刀紙。,I beh bé tsi̍t to tsuá.,他想買一刀紙。,He wants to buy a knife and paper.
𪜶頭家真𠢕共人刁。,In thâu-ke tsin gâu kā lâng tiau.,他們的老闆很會為難人。,Their boss is very good at making things difficult for people.
刁故意,tiau-kòo-ì,故意,Intentionally
刁工,tiau-kang,故意,intentionally or on purpose.
無力,bô-la̍t,沒有力氣,No strength.
氣力,khuì-la̍t,力氣,strength.
力量,li̍k-liōng,力量,power or strength.
財力,tsâi-li̍k,財力,financial resources.
兵力,ping-li̍k,兵力,military strength
十个人,tsa̍p ê lâng,十個人,Ten people
十喙九尻川,tsa̍p-tshuì káu kha-tshng,人多嘴雜,Too many people talking at once.
十五音,si̍p-ngóo-im,十五音,Fifteen sounds.
十八仔,si̍p-pat-á,骰子,dice.
十全十美,si̍p-tsuân-si̍p-bí,十分的完美,very perfect
十字路,si̍p-jī-lōo,十字路口,crossroads.
紅十字會,Âng-si̍p-jī-huē,國際救援組織,International rescue organization.
卜看覓咧！,Poh khuànn-māi--leh!,試試看囉！,Try it out!
我來卜一下仔卦咧。,Guá lâi pok tsi̍t-ē-á kuà--leh.,我來卜一下卦。,I'll cast a divination.
食又欲食，穡又毋做，真害！,"Tsia̍h iū beh tsia̍h, sit iū m̄ tsò, tsin hāi!",吃又要吃，工作又不肯做，真糟糕！,"Eat and want to eat, refuse to work, really terrible!"
鳥鼠予貓掠了了矣。,Niáu-tshí hōo niau lia̍h-liáu-liáu--ah.,老鼠被貓抓光光了。,The mouse was caught by the cat and left with nothing.
這个袂使，彼个毋通，全你的意見了了。,"Tsit ê bē-sái, hit ê m̄-thang, tsuân lí ê ì-kiàn--liáu-liáu.",這個不行，那個不可以，你的意見真多。,"This won't work, that's not allowed, you have so many opinions."
恁新婦人人呵咾。,Lín sin-pū lâng-lâng o-ló.,你媳婦人人稱讚。,Your daughter-in-law is praised by everyone.
十二分的感謝,tsa̍p-jī-hun ê kám-siā,萬分感謝,Thank you very much.
時機誠䆀，害我十二生相變透透嘛變無撚。,"Sî-ki tsiânn bái, hāi guá tsa̍p-jī senn-siùnn piàn-thàu-thàu mā piàn-bô-lián.",時機很不好，害我各種行業都做過了也沒輒。比喻一直換工作都沒出路。,"The timing was very bad, causing me to try all kinds of industries but to no avail. It's like changing jobs all the time without any way out."
二九暝家家戶戶攏咧圍爐。,Jī-káu-mê ke-ke-hōo-hōo lóng teh uî-lôo.,農曆新年除夕晚上家家戶戶都在圍爐。,"On the eve of Chinese New Year, every household gathers around the fireplace."
查某囡仔十八變。,Tsa-bóo gín-á tsa̍p-peh-piàn.,女大十八變。,A woman changes greatly at eighteen.
了工閣蝕本。,Liáu-kang koh si̍h-pún.,白費工夫又賠錢。比喻賠了夫人又折兵。,Wasted effort and lost money. It means losing both the wife and the soldiers.
割稻仔的人工愈濟就愈緊割了。,Kuah-tiū-á ê lâng-kang jú tsē tō jú kín kuah-liáu.,越多人割稻就越快完工。,"The more people harvesting rice, the faster the work will be completed."
臺灣現此時的人工真貴。,Tâi-uân hiān-tshú-sî ê lâng-kang tsin kuì.,臺灣現在的工資很貴。,Taiwan's current wages are expensive.
恁囝婿的人才生做袂䆀。,Lín kiánn-sài ê lâng-tsâi senn-tsò bē-bái.,你女婿外表長得不錯。,Your son-in-law looks good on the outside.
入土為安,ji̍p-thóo uî an,入土為安,Rest in peace.
我刁工來看你。,Guá thiau-kang lâi khuànn--lí.,我專程來看你。,I came specifically to see you.
你愈講，伊愈刁工。,"Lí jú kóng, i jú thiau-kang.",你越說，他越是故意和你唱反調。,"The more you speak, the more intentionally he sings against you."
算命的講，人中長的人較長歲壽。,"Sǹg-miā--ê kóng, jîn-tiong tn̂g ê lâng khah tn̂g-huè-siū.",算命的說，人中長的人壽命比較長。,"According to fortune tellers, people with longer philtrums tend to have longer lifespans."
人有七孔。,Lâng ū tshit-khóng.,人有七竅。,People have seven apertures.
伊是二手，毋是頭手。,"I sī jī-tshiú, m̄ sī thâu-tshiú.",他是助手，不是師傅。,"He is an assistant, not a master."
物件買二手的較俗。,Mi̍h-kiānn bé jī-tshiú--ê khah sio̍k.,東西買中古的比較便宜。,Buying second-hand goods is comparatively cheaper.
八仙綵,pat-sian-tshái,繡有八仙的紅彩，在喜慶時掛在門楣上,The red-colored embroidery of the Eight Immortals is hung on the door lintel during festive occasions.
你莫共伊刁古董。,Lí mài kā i tiau-kóo-tóng.,你不要為難他。,Do not make things difficult for him.
伊一禮拜至少愛賣三百个，才袂了本。,"I tsi̍t lé-pài tsì-tsió ài bē sann-pah ê, tsiah bē liáu-pún.",他一星期至少要賣三百個，才不會虧本。,He has to sell at least three hundred per week to avoid losing money.
人生短短仔,jîn-sing té-té--á,人生苦短,Life is short.
刀石提來磨刀仔。,To-tsio̍h the̍h-lâi buâ to-á.,磨刀石拿來磨刀子。,Use a sharpening stone to sharpen a knife.
媠，媠無十全；䆀，䆀無加圇。,"Suí, suí bô tsa̍p-tsn̂g; bái, bái bô ka-nn̂g.",人不會是十全十美的。,People cannot be perfect.
十全大補湯,si̍p-tsuân tāi póo-thng,合人參、白朮、茯苓、甘草、熟地、白芍、當歸、川芎、黃茋、肉桂等十種藥材的補藥。,"Ginseng, Atractylodes, Poria, Licorice, Rehmannia, White Peony, Angelica, Chuanxiong, Huangqi, Cinnamon, and other ten medicinal materials for tonifying."
算命仙的講𪜶兩人的八字袂合。,Sǹg-miā sian--ê kóng in nn̄g lâng ê peh-jī bē ha̍h.,算命先生說他們兩人的八字不合。,The fortune teller said their eight characters don't match.
七早八早，你就想欲歇睏？,"Tshit-tsá-peh-tsá, lí tō siūnn-beh hioh-khùn?",時間還早，你就想休息？,"Time is still early, you want to rest?"
你講閣較濟伊嘛聽袂入耳。,Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní.,你說再多他也聽不進去。,"You can say more, but he won't listen."
食甲七老八老矣，猶閣毋認老。,"Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn-lāu.",活到七老八十了，還不認老。,"Living to the age of seventy or eighty, still refusing to admit one's old age."
你著較拍拚咧，毋通做了尾仔囝。,"Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn.",你要更努力一點，不要做敗家子。,You need to work harder and not be a spendthrift.
講著種花伊閣有二步七仔！,Kóng-tio̍h tsìng hue i koh ū--jī-pōo-tshit-á!,說到種花他還有點能耐！,"Speaking of planting flowers, he still has some skills!"
睏飽了後，氣力十足。,"Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok.",一覺睡醒之後，全身都充滿了活力。,"After waking up from a nap, the whole body is full of energy."
九芎仔柴,kiú-kiong-á-tshâ,九芎樹,Chinese sweet gum tree
人事室,jîn-sū-sik,管理機關人員的辦公處所,The office of the administrative personnel.
盡人事順天意。,Tsīn jîn-sū sūn thinn-ì.,盡人事聽天命。,Do your best and leave the rest to fate.
過年時仔伊會用外國酒來做人事。,Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū.,過年的時候他會用外國酒來做公關。,"During the Chinese New Year, he will use foreign alcohol for public relations."
陳家二房的囝孫仔攏真老實。,Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t.,陳家二房的子孫都很老實。,The descendants of the second branch of the Chen family are all very honest.
大人物,tuā-jîn-bu̍t,有地位有名望的人,People with status and prestige.
十花五色的人,tsa̍p-hue-gōo-sik ê lâng,形形色色的人,People of all kinds.
我今仔入門，電話就來矣。,"Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah.",我剛進門，電話就來了。,"As soon as I walked in the door, the phone rang."
我想欲趕緊共你娶入門。,Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g.,我想要趕快將你娶進門。,I want to marry you quickly.
學音樂，我拄入門。,"O̍h im-ga̍k, guá tú ji̍p-mn̂g.",學音樂，我才剛剛入門。,I have just started learning music.
哲學入門,tiat-ha̍k ji̍p-mn̂g,哲學入門,Introduction to Philosophy
咱愛好好仔招待人客。,Lán ài hó-hó-á tsiau-thāi lâng-kheh.,我們要好好招呼客人。,We need to greet our guests well.
店內人客真濟。,Tiàm-lāi lâng-kheh tsin tsē.,店裡顧客很多。,There are many customers in the store.
你出門了後，伊就醒矣。,"Lí tshut-mn̂g liáu-āu, i tō tshénn--ah.",你出去之後，他就醒了。,"After you left, he woke up."
七星陣,tshit-tshenn-tīn,依照北斗七星排列所設的陣式,"According to the arrangement of the Big Dipper, the formation is set."
大姊昨昏二指去予玻璃幼仔割著。,Tuā-tsí tsa-hng jī-tsáinn khì hōo po-lê-iù-á kuah--tio̍h.,大姊昨天食指被碎玻璃割到。,"Yesterday, the eldest sister's index finger was cut by broken glass."
伊是刁持欲佮我做對的。,I sī tiau-tî beh kah guá tsò-tuì--ê.,他是故意要和我作對的。,He deliberately wants to oppose me.
我是刁持來看你的。,Guá sī tiau-tî lâi khuànn--lí--ê.,我是特別來看你的。,I came specifically to see you.
伊刁故意欲講予你氣。,I tiau-kòo-ì beh kóng hōo lí khì.,他故意這麼說要惹你生氣。,He deliberately said this to make you angry.
你毋通遐八珍。,Lí m̄-thang hiah pat-tin.,你不要這麼三八。,Don't be so nosy.
伊的人面真闊，拜託伊就無毋著！,"I ê lâng-bīn tsin khuah, pài-thok--i tō bô m̄-tio̍h!",他的人脈很廣，拜託他就沒錯！,"His network is extensive, it's right to ask him for help!"
這个案件是人倫悲劇。,Tsit ê àn-kiānn sī jîn-lûn pi-kio̍k.,這個案件是人倫悲劇。,This case is a tragedy of human ethics.
公務人員,kong-bū jîn-uân,公務人員,civil servant
阮這个單位的人員無夠，工課才會做袂完。,"Guán tsit ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân.",我們這個單位的人數不足，工作才完成不了。,"Our unit's manpower is insufficient, so the work cannot be completed."
你當時欲入厝？,Lí tang-sî beh ji̍p-tshù?,你何時要搬入新家？,When are you moving into your new home?
咱愛包禮共伊入厝。,Lán ài pau-lé kā i ji̍p-tshù.,我們要包禮慶賀他入新家。,We need to wrap gifts to celebrate his move into a new home.
一戶人家,tsi̍t hōo jîn-ke,一戶人家,a household
做人愛重人格。,Tsò-lâng ài tiōng jîn-keh.,為人要注重人格。,One should pay attention to their character.
我用人格共你保證。,Guá iōng jîn-keh kā lí pó-tsìng.,我用人格跟你保證。,I assure you with my character.
伊閣不止仔有人氣。,I koh put-tsí-á ū jîn-khì.,他的人緣還算不錯。,His interpersonal relationships are pretty good.
兩隊人馬佇街仔路相拄。,Nn̄g tuī jîn-má tī ke-á-lōo sio-tú.,兩隊人馬在街道相遇。,Two teams of people and horses met on the street.
伊昨暗入院。,I tsa-àm ji̍p-īnn.,他昨晚住院。,He was hospitalized last night.
做人情予伊。,Tsò-jîn-tsîng hōo--i.,給他一個人情。,Give him a favor.
人在人情在。,Jîn tsāi jîn-tsîng tsāi.,人在人際關係就在。,"In English, the text reads: Where there are people, there are interpersonal relationships."
人情世事有夠濟。,Jîn-tsîng-sè-sū ū-kàu tsē.,禮尚往來的事情有夠多。,There are so many things that require reciprocity.
伊真有人望。,I tsin ū jîn-bōng.,他很有名氣。,He is very famous.
人造雨,jîn-tsō-hōo,人造雨,Artificial rain.
這支刀的刀喙真利。,Tsit ki to ê to-tshuì tsin lāi.,這把刀的刀口很鋒利。,The blade of this knife is very sharp.
戲園五點才會使入場。,Hì-hn̂g gōo tiám tsiah ē-sái ji̍p-tiûnn.,戲院五點才能進場。,Can only enter the theater at five oclock.
這个囡仔欲食毋討趁，有夠了然。,"Tsit ê gín-á beh tsia̍h m̄ thó-thàn, ū-kàu liáu-jiân.",這個孩子只顧白食不肯賺錢，實在枉然。,"This child only cares about eating without wanting to earn money, which is really in vain."
咱愛靠家己的力量拚出咱家己的前途。,Lán ài khò ka-kī ê li̍k-liōng piànn-tshut lán ka-kī ê tsiân-tôo.,我們要靠自己的能力拚出自己的前途。,We have to rely on our own abilities to fight for our own future.
伊毋是刁意故的。,I m̄ sī thiau-ì-kòo--ê.,他不是故意的。,He didn't mean to do it.
伊又閣來矣。,I iū-koh lâi--ah.,他又來了。,He's here again.
規間厝恬恬無聲，連半个人影嘛無。,"Kui king tshù tiām-tiām bô-siann, liân puànn ê lâng-iánn mā bô.",整間屋子靜悄悄的，連半個人影都沒有。,"The whole room is quiet, without even half a shadow."
用九層塔煎卵真好食。,Iōng káu-tsàn-thah tsian nn̄g tsin hó-tsia̍h.,用九層塔煎蛋很好吃。,Fried eggs with basil are delicious.
伊的人範袂䆀。,I ê lâng-pān bē-bái.,他的人品不錯。,His character is good.
伊真有人緣。,I tsin ū-lâng-iân.,他很有人緣。,He is very popular.
我今年就欲入學去讀冊矣！,Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah!,我今年就要入學去讀書了！,I will be starting school and studying this year!
伊彼幅圖有入選無？,I hit pak tôo ū ji̍p-suán--bô?,他那幅畫有沒有入選？,Did his painting get selected?
伊做啥物生理攏了錢。,I tsò siánn-mih sing-lí lóng liáu-tsînn.,他做什麼生意都賠錢。,He loses money in whatever business he does.
這號物件都已經有矣，你閣欲買，加了錢的。,"Tsit lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê.",這個東西已經有了，你還要買，多花錢而已。,"This thing already exists, you still want to buy it, just spending more money."
這間店是算人頭收錢的。,Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê.,這家商店是按人數收錢的。,This store charges by the number of people.
警察掠著的是人頭，毋是真正的頭家。,"Kíng-tshat lia̍h--tio̍h--ê sī lâng-thâu, m̄ sī tsin-tsiànn ê thâu-ke.",警察捉到的是人頭帳戶，而不是背後的主使者。,"The police caught the account holder, not the mastermind behind it."
力頭真飽,la̍t-thâu tsin pá,力道真大,The force is really strong.
無佮意你就講，何乜苦共伊刁難？,"Bô kah-ì lí tō kóng, hô-mí-khóo kā i thiau-lân?",不喜歡你就說嘛，又何必故意為難他？,"If you don't like him, just say it. Why make things difficult for him on purpose?"
三生有幸,sam-sing-iú-hīng,三生有幸,Fortunate to have three lives
三隻狗,sann tsiah káu,三條狗,three dogs
上車,tsiūnn-tshia,上車,Get on the car.
上山,tsiūnn-suann,上山,go up the mountain.
上桌,tsiūnn-toh,把食物或其他東西端上桌,Put the food or other things on the table.
上水,tshiūnn-tsuí,從井裡頭用水桶把水打上來,Use a bucket to draw water from the well.
上青苔,tshiūnn-tshenn-thî,長青苔,Evergreen moss
水面上,tsuí-bīn-siōng,水面上,on the water surface
上好,siōng-hó,最好,best
天跤下,thinn-kha-ē,天底下,under the sky
拍三下,phah sann ē,打三下,knock three times
驚一下,kiann tsi̍t-ē,嚇一跳,startled
下班,hā-pan,下班,get off work
下課,hā-khò,下課,Class is over
下令,hā-līng,宣布命令,Declare command.
南下,lâm-hā,往南部去,Go south.
下集,hā tsi̍p,下集,Next episode
下級,hā-kip,下級,subordinate
物件無位通下。,Mi̍h-kiānn bô uī thang hē.,東西沒地方放。,There's no place to put things.
下鹽,hē iâm,在食物中放鹽,Put salt in the food.
乞食下大願。,Khit-tsia̍h hē tuā guān.,乞丐許大願。比喻人明明沒有能力，卻好高騖遠。,"The beggar made a big wish. It means that a person clearly lacks the ability, yet aims for lofty goals."
懸低,kuân-kē,高低,height
低音,kē-im,低音,Low sound
兩个人,nn̄g ê lâng,兩個人,two people
這个物件,tsit ê mi̍h-kiānn,這個東西,This thing.
魚丸,hî-uân,魚肉製成的小丸子,Small meatballs made of fish.
彼兩丸烏烏的物件是啥物？,Hit nn̄g uân oo-oo ê mi̍h-kiānn sī siánn-mih?,那兩球黑黑的東西是什麼？,What are those two black things?
伊離開真久矣。,I lī-khui tsin kú--ah.,他離開很久了。,He has been gone for a long time.
等一點鐘久矣。,Tán tsi̍t tiám-tsing kú--ah.,等了一小時了。,It has been waiting for an hour.
這久,tsit-kú,現在,now
彼久,hit-kú,那時候,At that time.
么二三,io jī sann,一二三,one two three
乞符仔,khit hû-á,向道士求討符咒,Ask the Taoist for a talisman and spell.
乞雨,khit hōo,求雨,pray f
這項物件有也好，無也好，攏無要緊。,"Tsit hāng mi̍h-kiānn ū iā hó, bô iā hó, lóng bô iàu-kín.",這個東西可有可無，都沒關係。,"This thing is optional, it doesn't matter."
亡國,bông-kok,亡國,fallen country
亡兄,bông-hing,亡兄,deceased brother
新亡,sin-bông,新死者、剛過世的人,"Newly deceased, recently passed away person."
傷亡,siong-bông,傷者和死者,injured and deceased.
流亡,liû-bông,流亡,exile
平凡,pîng-huân,平常、不出色,"ordinary, not outstanding"
凡事,huân-sū,無論什麼事情,Whatever the matter
凡間,huān-kan,凡間,mortal world.
仙女下凡,sian-lí hā-huān,仙女下凡,Fairy descending to earth.
千辛萬苦,tshian-sin-bān-khóo,千辛萬苦,thousands of hardships and ten thousand difficulties
一千箍,tsi̍t-tshing khoo,一千元,One thousand yuan.
開叉,khui tshe,開叉,split
竹篙叉,tik-ko-tshe,有Y字型開叉竹竿的樹椏,Y-shaped split bamboo pole tree branch.
叉人的頷頸。,Tshe lâng ê ām-kún.,掐別人的脖子。,Strangle someone's neck.
拍叉做記號。,Phah tshe tsò kì-hō.,打叉做記號。,Make a check mark as a notation.
用話叉人,īng uē tshe--lâng,用話頂撞別人,To confront others with words.
店門口,tiàm mn̂g-kháu,商店門口,store entrance
一口井,tsi̍t kháu tsénn,一口井,a well
