中文,台文,台羅,白話字
請幫我轉分機五一一四,請幫我轉分機五一一四,tshiánn pang guá tsuán hun-ki ngóo it it sù,chhiáⁿ pang góa choán hun-ki ngó͘ it it sù
怎麼配色、要裁多大的尺寸，,按怎配色、寸尺欲裁偌大，,"Án-tsuánn phuè-sik, tshùn-tshioh beh tshâi luā tuā,","Án-chóaⁿ phòe-sek,chhùn-chhioh beh chhâi lōa tōa,"
環保、搞笑、應用文（喜帖、祭文、推薦文、求職文、公文），,環保、笑詼、實用文（結婚帖仔、祭文、推薦文、求職文、公文），,"khuân-pó, tshiò-khue, si̍t-iōng-bûn (kiat-hun thiap-á, tsè-bûn, thui-tsiàn-bûn, kiû-tsit-bûn, kong-bûn),","khoân-pó,chhiò-khoe,si̍t-iōng-bûn(kiat-hun thiap-á,chè-bûn,thui-chiàn-bûn,kiû-chit-bûn,kong-bûn),"
捏住鼻子不要呼吸，,鼻仔捏--咧莫喘氣，,"phīnn-á tēnn--leh mài tshuán-khuì,","phīⁿ-á tēⁿ--leh mài chhoán-khùi,"
沒辦法繼續讀國中，,無法度紲落去讀國中，,"bô-huat-tōo suà-lo̍h-khì tha̍k kok-tiong,","bô-hoat-tō͘ sòa-lo̍h-khì tha̍k kok-tiong,"
主意打到國小畢業生身上。,動對國小畢業生的頭殼頂。,tāng uì kok-sió pit-gia̍p-sing ê thâu-khak-tíng.,tāng ùi kok-sió pit-gia̍p-seng ê thâu-khak-téng.
才能脫離第二外來政權的統治，,才會當脫離第二外來政權的統治，,"tsiah ē-tàng thuat-lī tē-jī guā-lâi tsìng-khuân ê thóng-tī,","chiah ē-tàng thoat-lī tē-jī gōa-lâi chèng-khoân ê thóng-tī,"
出席的清一色是黨主席，,出席的是透跤青的黨主席，,"tshut-si̍k--ê sī thàu-kha-tshenn ê tóng-tsú-si̍k,","chhut-se̍k--ê sī thàu-kha-chheⁿ ê tóng-chú-se̍k,"
一台是我爸爸在用的，,一台阮爸爸咧用的，,"tsi̍t tâi guán pá-pah leh iōng,","chi̍t tâi goán pá-pah leh iōng,"
俊男親切的寒暄：,俊男好禮相借問：,Tsùn-lâm hó-lé sio-tsioh-mn̄g:,Chùn-lâm hó-lé sio-chioh-mn̄g:
對臺語文發展會有很大的貢獻。,對臺語文發展會有大幫贊。,tuì Tâi-gír-bûn huat-tián ē ū tuā pang-tsān.,tùi Tâi-gír-bûn hoat-tián ē ū tōa pang-chān.
我照例拍一張相片做紀念，,我照例翕一張相片做紀念，,"guá tsiàu lē hip tsi̍t tiunn siòng-phìnn tsuè kì-liām,","góa chiàu lē hip chi̍t tiuⁿ siòng-phìⁿ chòe kì-liām,"
有漢文化混合。,有漢文化摻濫。,ū Hàn bûn-huà tsham-lām.,ū Hàn bûn-hòa chham-lām.
探頭看我們全家大小的忙碌、高興！,探頭看阮一家伙仔的無閒、歡喜！,"thàm-thâu khuànn gún tsi̍t-ke-hué-á ê bô-îng, huann-hí!","thàm-thâu khòaⁿ gún chi̍t-ke-hóe-á ê bô-êng,hoaⁿ-hí!"
池子邊半米外四周圍有一尺半寬的水泥水溝，,池仔邊米半外四箍圍箍有尺半闊的紅毛塗水溝，,"tî-á-pinn bí-puànn-guā sì-khoo uî-khoo ū tshioh-puànn khuah ê âng-mn̂g-thôo tsuí-kau,","tî-á-piⁿ bí-pòaⁿ-gōa sì-kho͘ ûi-kho͘ ū chhioh-pòaⁿ khoah ê âng-mn̂g-thô͘ chúi-kau,"
教書五、六年第一次遇到林文鐘這樣的孩子。,教冊五、六冬頭擺搪著林文鐘這款囡仔。,"kà-tsheh gōo, la̍k tang thâu-pái tn̄g-tio̍h Lîm Bûn-tsing tsit khuán gín-á.","kà-chheh gō͘,la̍k tang thâu-pái tn̄g-tio̍h Lîm Bûn-cheng chit khoán gín-á."
來賓二七六號請到十二號櫃台辦理,來賓二七六號請來十二號櫃台辦理,lâi-pin jī tshit lio̍k hō tshiánn-lâi tsa̍p-jī hō kuī-tâi pān-lí,lâi-pin jī chhit lio̍k hō chhiáⁿ-lâi cha̍p-jī hō kūi-tâi pān-lí
早就安排一些戲碼，,早就安排一寡齣頭，,"tsá tio̍h an-pâi tsi̍t-kuá tshut-thâu,","chá tio̍h an-pâi chi̍t-kóa chhut-thâu,"
五官精明，,鼻目喙靈靈靈，,"phīnn-ba̍k-tshuì lîng-lîng-lîng,","phīⁿ-ba̍k-chhùi lêng-lêng-lêng,"
或是小孩子玩水、沒下水的大人泡腳、碰水的地方；,抑是細漢囡仔耍水、無落水的大人浸跤、沐水的所在；,"ia̍h-sī sè-hàn gín-á sńg-tsuí, bô lo̍h-tsuí ê tuā-lâng tsìm kha, bak tsuí ê sóo-tsāi;","ia̍h-sī sè-hàn gín-á sńg-chúi,bô lo̍h-chúi ê tōa-lâng chìm kha,bak chúi ê só͘-chāi;"
你看排在那的東西就知道，,你看排佇遐的物件就知影，,"lí khuànn pâi tī hia ê mih-kiānn tio̍h tsai-iánn,","lí khòaⁿ pâi tī hia ê mih-kiāⁿ tio̍h chai-iáⁿ,"
溫度三十至三十二度，降雨機率百分之八十,溫度三十至三十二度，落雨機率八十pha,"un-tōo sann-tsa̍p tsì sann-tsa̍p-jī tōo, lo̍h-hōo ki-lu̍t peh-tsa̍p pha","un-tō͘ saⁿ-cha̍p chì saⁿ-cha̍p-jī tō͘,lo̍h-hō͘ ki-lu̍t peh-cha̍p pha"
我們一直都無法解決台語文學的書寫問題。,咱一直攏無法度解決台語文學書寫的問題。,lán it-ti̍t lóng bô-huat-tōo kái-kuat Tâi-gí bûn-ha̍k su-siá ê būn-tê.,lán it-ti̍t lóng bô-hoat-tō͘ kái-koat Tâi-gí bûn-ha̍k su-siá ê būn-tê.
糯米、鼠麴草、印模、粿巾都排好在活動場所展覽，,秫米、鼠麴仔、粿印、粿巾攏排排佇活動場所展覽，,"tsu̍t-bí, tshí-khak-á, kué-ìn, kué-kin lóng pâi-pâi tī ua̍h-tāng tiûnn-sóo tián-lám,","chu̍t-bí,chhí-khak-á,kóe-ìn,kóe-kin lóng pâi-pâi tī oa̍h-tāng tiûⁿ-só͘ tián-lám,"
舊城圳溝（八千代川）的東邊跟南段雖然在我們身邊的生活中，,舊城圳溝（八千代川）的東爿佮南段雖然佇生活中的身軀邊，,"kū-siânn tsùn-kau ( Pat-tshian-tāi-tshuan ) ê tang-pîng kap lâm-tuānn sui-jiân tī sing-ua̍h-tiong ê sin-khu-pinn,","kū-siâⁿ chùn-kau(Pat-chhian-tāi-chhoan)ê tang-pêng kap lâm-tōaⁿ sui-jiân tī seng-oa̍h-tiong ê sin-khu-piⁿ,"
文章三,文章三,Bûn-tsiong sann,Bûn-chiong saⁿ
請問，這本書多少錢？,請問，這本冊偌濟錢？,"Tshiánn-mn̄g, tsit pún tsheh guā-tsē tsînn?","Chhiáⁿ-mn̄g,chit pún chheh gōa-chē chîⁿ?"
你看排在那的東西就知道，,你看排佇遐的物件就知影，,"lí khuànn pâi tī hia ê mih-kiānn tio̍h tsai-iánn,","lí khòaⁿ pâi tī hia ê mih-kiāⁿ tio̍h chai-iáⁿ,"
這個游泳池就是爸爸教我們兄妹游泳的訓練所，,這个泅水池就是爸爸教阮兄妹仔泅水的訓練所，,"tsit ê siû-tsuí-tî tō sī pa-pa kà gún hiann-muē-á siû-tsuí ê hùn-liān-sóo,","chit ê siû-chúi-tî tō sī pa-pa kà gún hiaⁿ-mōe-á siû-chúi ê hùn-liān-só͘,"
老闆，一尾紅燒魚，一盤炒青菜。,頭家，一尾紅燒魚，一盤炒青菜。,"Thâu-ke, tsi̍t bué âng-sio-hî, tsi̍t puânn tshá tshing-tshài.","Thâu-ke,chi̍t bóe âng-sio-hî,chi̍t pôaⁿ chhá chheng-chhài."
從事臺語文能真正有錢賺、有成就、又有好名聲。,做臺語文真正有錢趁、有成就、閣好名聲。,"tsò Tâi-gí-bûn tsin-tsiànn ū tsînn thàn, ū sîng-tsiū, koh hó miâ-siann.","chò Tâi-gí-bûn chin-chiàⁿ ū chîⁿ thàn,ū sêng-chiū,koh hó miâ-siaⁿ."
「有沒有人畢業之後，不繼續唸國中，,「敢有人出業了，無愛繼續讀國中，,"“Kám ū lâng tshut-gia̍p liáu, bô ài kè-sio̍k tha̍k kok-tiong,","“Kám ū lâng chhut-gia̍p liáu,bô ài kè-sio̍k tha̍k kok-tiong,"
現在對台北小孩還是那麼好奇，,這馬對台北囡仔猶是遐好奇，,"tsit-ma tuì Tâi-pak gín-á iáu-sī hiah hònn-kî,","chit-ma tùi Tâi-pak gín-á iáu-sī hiah hòⁿ-kî,"
我要一塊巧克力鬆餅。,我欲愛一塊tsioo-kóo-lè-tòo的格仔餅。,guá beh ài tsi̍t tè tsioo-kóo-lè-tòo ê keh-á-piánn.,góa beh ài chi̍t tè chio͘-kó͘-lè-tò͘ ê keh-á-piáⁿ.
色調稍偏內斂的大圓龍鳳，,色調小可仔偏閉思的大圓龍鳳，,"sik-tiāu sió-khuá-á phian pì-sir ê tuā înn lîng-hōng,","sek-tiāu sió-khóa-á phian pì-sir ê tōa îⁿ lêng-hōng,"
鼻子貼著不要呼吸，,鼻仔nieh咧甭喘氣，,"phīnn-á tēnn--leh mài tshuán-khuì,","phīⁿ-á tēⁿ--leh mài chhoán-khùi,"
才能脫離第二個外來政權的統治，,才會當脫離第二外來政權的統治，,"tsiah ē-tàng thuat-lī tē-jī guā-lâi tsìng-khuân ê thóng-tī,","chiah ē-tàng thoat-lī tē-jī gōa-lâi chèng-khoân ê thóng-tī,"
不學就笨，,毋學就戇，,"m̄ o̍h tio̍h gōng,","m̄ o̍h tio̍h gōng,"
我們那些左鄰右舍三不五時就拿各種茶葉來找我爸泡茶聊天。,阮遐厝邊頭尾不時嘛提無仝茶米來揣阮爸泡茶話仙。,Guán hia tshù-pinn-thâu-bué put-sî mā the̍h bô kâng tê-bí lâi tshuē guán pâ phàu tê uē-sian.,Goán hia chhù-piⁿ-thâu-bóe put-sî mā the̍h bô kâng tê-bí lâi chhōe goán pâ phàu tê ōe-sian.
不要以為他的耳朵就比較不好，,毋通掠準伊耳空有較輸，,"m̄-thang lia̍h-tsún i hīnn-khang ū khah-su,","m̄-thang lia̍h-chún i hīⁿ-khang ū khah-su,"
形成風氣，,形成風氣，,"hîng-sîng hong-khì,","hêng-sêng hong-khì,"
想不到七老八十了，,想袂到七老八拄矣，,"siūnn-buē-kàu tshit-lāu-pueh-tú--ah,","siūⁿ-bōe-kàu chhit-lāu-poeh-tú--ah,"
拜託睿麒兄幫我印讀書會，,拜託睿麒兄替我印讀書會，,"pài-thok Juē-kî hiann thuè guá ìn tha̍k-tsir-huē,","pài-thok Jōe-kî hiaⁿ thòe góa ìn tha̍k-chir-hōe,"
也是不可或缺。,總是嘛袂當無。,tsóng--sī mā buē-tàng bô.,chóng--sī mā bōe-tàng bô.
《台文通訊》扮演先鋒者的角色，,《台文通訊》扮演先鋒者的角色，,"“Tâi-bûn thong-sìn” pān-ián sian-hong-tsiá ê kak-sik,","“Tâi-bûn thong-sìn”pān-ián sian-hong-chiá ê kak-sek,"
你們這些小孩子可以不理他，,恁遮的囡仔會當莫插伊，,"lín tsia-ê gín-á ē-tàng mài tshap--i,","lín chia-ê gín-á ē-tàng mài chhap--i,"
我時常在想，,我不時咧想，,"guá put-sî leh siūnn,","góa put-sî leh siūⁿ,"
之後才換大同國小的學生來田中央遊玩。,後來才換大同國小的學生來田中央𨑨迌。,āu--lâi tsiah uānn Tāi-tông kok-sió ê ha̍k-sing lâi tshân-tiong-ng tshit-thô.,āu--lâi chiah ōaⁿ Tāi-tông kok-sió ê ha̍k-seng lâi chhân-tiong-ng chhit-thô.
沒辦法繼續讀國中，,無法度紲落去讀國中，,"bô-huat-tōo suà-lo̍h-khì tha̍k kok-tiong,","bô-hoat-tō͘ sòa-lo̍h-khì tha̍k kok-tiong,"
阿生就是其中之一。,阿生就是其中一个。,A-sing tō sī kî-tiong tsi̍t ê.,A-seng tō sī kî-tiong chi̍t ê.
那晚，要睡的時候，,彼暝，欲睏的時，,"hit mê, beh khùn ê sî,","hit mê,beh khùn ê sî,"
這是基本道理。,這是基本道理。,tse sī ki-pún tō-lí.,che sī ki-pún tō-lí.
覺得他點出的「美」頗有道理。,感覺伊點出來的「媠」閣不止仔有道理。,kám-kak i tiám--tshut-lâi ê “suí” koh put-tsí-á ū tō-lí.,kám-kak i tiám--chhut-lâi ê“súi”koh put-chí-á ū tō-lí.
舊城圳溝（八千代川）的東邊跟南段雖然在我們身邊的生活中，,舊城圳溝（八千代川）的東爿佮南段雖然佇生活中的身軀邊，,"kū-siânn tsùn-kau ( Pat-tshian-tāi-tshuan ) ê tang-pîng kah lâm-tuānn sui-liân tī sing-ua̍h-tiong ê sin-khu-pinn,","kū-siâⁿ chùn-kau(Pat-chhian-tāi-chhoan)ê tang-pêng kah lâm-tōaⁿ sui-liân tī seng-oa̍h-tiong ê sin-khu-piⁿ,"
二.生活對話,二.生活對話,Jī. Sing-ua̍h Tuì-uē,Jī.Seng-oa̍h Tùi-ōe
沒舉手的留在教室念書；,無攑手的留佇教室讀冊；,bô gia̍h-tshiú--ê lâu tī kàu-sik tha̍k-tsheh;,bô gia̍h-chhiú--ê lâu tī kàu-sek tha̍k-chheh;
作者：廖瑞銘,作者：廖瑞銘,Tsok-tsiá: Liāu Suī-bîng,Chok-chiá:Liāu Sūi-bêng
大紅色的……俗氣，,大紅的……倯，,"Tuā-âng--ê... sông,","Tōa-âng--ê...sông,"
準備休息，,準備歇睏，,"tsún-pī hioh-khùn,","chún-pī hioh-khùn,"
接下來看南投縣明天三號的天氣,紲落來看南投縣明仔載三號的天氣,suà-lo̍h-lâi khuànn lâm-tâu-kuān bîn-á-tsài sann hō ê thinn-khì,sòa-lo̍h-lâi khòaⁿ lâm-tâu-koān bîn-á-chài saⁿ hō ê thiⁿ-khì
大概幾十塊而已。,大概幾十箍仔爾爾。,Tāi-khài kuí tsa̍p khoo-á niā-niā.,Tāi-khài kúi cha̍p kho͘-á niā-niā.
大紅色的……俗氣，,大紅的……倯，,"Tuā-âng--ê... sông,","Tōa-âng--ê...sông,"
鄉下人一定沒有我們都市人聰明。,庄跤人一定無咱都市人遐巧。,tsng-kha-lâng it-tīng bô lán too-tshī-lâng hiah khiáu.,chng-kha-lâng it-tēng bô lán to͘-chhī-lâng hiah khiáu.
每項都嘛是電腦，,逐項攏嘛是電腦，,"ta̍k hāng lóng mā tiān-náu,","ta̍k hāng lóng mā tiān-náu,"
在「再來玩！」的道別聲中，,佇「才閣來！」的再會聲中，,"tī “tsiah koh lâi! "" ê tsài-huē siann tiong,","tī“chiah koh lâi!""ê chài-hōe siaⁿ tiong,"
去台北市參觀、遊玩，,去台北市參觀、𨑨迌，,"khì Tâi-pak-tshī tsham-kuan, tshit-thô,","khì Tâi-pak-chhī chham-koan,chhit-thô,"
也是不可或缺。,總是嘛袂當無。,tsóng--sī mā bē-tàng bô.,chóng--sī mā bē-tàng bô.
他心中一直很納悶。,伊心內一直想無。,I sim-lāi it-ti̍t siūnn-bô.,I sim-lāi it-ti̍t siūⁿ-bô.
在那個不鼓勵人玩水、碰水的時代，,佇彼个無鼓勵人耍水、沐水的時代，,"tī hit ê bô kóo-lē lâng sńg-tsuí, bak tsuí ê sî-tāi,","tī hit ê bô kó͘-lē lâng sńg-chúi,bak chúi ê sî-tāi,"
阿生很認真，,阿生足認真，,"A-sing tsok līn-tsin,","A-seng chok līn-chin,"
最後看起來，,落尾共看起來，,"lo̍h-bué kā khuànn--khaih,","lo̍h-bóe kā khòaⁿ--khaih,"
老實說我很想繼續讀下去。」,坦白講我足想欲閣讀。」,thán-pi̍k kóng guá tsiok siūnn-beh koh tha̍k.”,thán-pe̍k kóng góa chiok siūⁿ-beh koh tha̍k.”
搭帳篷、露營……,搭thiàn-tooh、露營……,"tah thiàn-tooh, lo̍k-iânn...","tah thiàn-to͘h,lo̍k-iâⁿ..."
「都市笨蛋和鄉下土包子」是一樣的。,「都市倯佮庄跤戇」仝一樣。,“too-tshī-sông kah tsng-kha-gōng” kâng it iūnn.,“to͘-chhī-sông kah chng-kha-gōng”kâng it iūⁿ.
有人僵硬地問：,有人聲㧎倒問：,ū lâng siann khê tò mn̄g:,ū lâng siaⁿ khê tò mn̄g:
因此我們的臺語文作品應該要繼續加強、升級。,所擺咱的臺語文作品著愛繼續加強、升級。,"Sóo-pái lán ê Tâi-gí-bûn tsok-phín tio̍h-ài kè-sio̍k ka-kiông, sing-kip.","Só͘-pái lán ê Tâi-gí-bûn chok-phín tio̍h-ài kè-sio̍k ka-kiông,seng-kip."
熟悉透徹，,熟似遛遛，,"si̍k-sāi liù-liù,","se̍k-sāi liù-liù,"
說不定這樣，,凡勢仔按呢，,"huān-sè-á án-ne,","hoān-sè-á án-ne,"
還在一起的時候，,猶咧鬥陣彼時，,"iáu leh tàu-tīn hit-sî,","iáu leh tàu-tīn hit-sî,"
「小孩子拿那麼多錢幹嘛？」,「囡仔人提遐濟錢欲創啥物？」,“Gín-á-lâng the̍h hiah tsē tsînn beh tshòng siánn-mih?”,“Gín-á-lâng the̍h hiah chē chîⁿ beh chhòng siáⁿ-mih?”
他們要來看我們學校。他們大部份是學生，有幾位是老師。,𪜶欲來看咱學校。𪜶大部份是學生，有幾位仔是老師。,"In beh lâi khuànn lán ha̍k-hāu. In tāi-pōo-hūn sī ha̍k-sing, ū kuí uī-á sī lāu-su.","In beh lâi khòaⁿ lán ha̍k-hāu.In tāi-pō͘-hūn sī ha̍k-seng,ū kúi ūi-á sī lāu-su."
看的出來住在這裡的住戶，,看會出來蹛踮遮的住戶，,"khuànn ē tshut--lâi tuà tiàm tsia ê tsū-hōo,","khòaⁿ ē chhut--lâi tòa tiàm chia ê chū-hō͘,"
自然有人肯做，,自然會有人肯欲做，,"tsū-liân ē ū lâng khíng beh tsò,","chū-liân ē ū lâng khéng beh chò,"
我們出外的哥哥姐姐們放假回來，,阮出外的兄姊放假轉來，,"gún tshut-guā ê hiann-tsé pàng-ká tńg--lâi,","gún chhut-gōa ê hiaⁿ-ché pàng-ká tńg--lâi,"
說是安撫那些唐山過台灣心裡結成團的好兄弟，,講是安搭遐的唐山過台灣心肝結規丸的好兄弟，,"kóng sī an-tah hia-ê Tn̂g-suann kuè Tâi-uân sim-kuann kiat kui uân ê hó-hiann-tī,","kóng sī an-tah hia-ê Tn̂g-soaⁿ kòe Tâi-oân sim-koaⁿ kiat kui oân ê hó-hiaⁿ-tī,"
還有，現在最重要的打字工具是手機。,閣有，這馬上要緊的拍字工具是手機仔。,"Koh ū, tsit-má siōng iàu-kín ê phah-jī kang-kū sī tshiú-ki-á.","Koh ū,chit-má siōng iàu-kín ê phah-jī kang-kū sī chhiú-ki-á."
緊抓著錢包，,共錢袋仔捏牢牢，,"kā tsînn-těr-á tīnn-tiâu-tiâu,","kā chîⁿ-těr-á tīⁿ-tiâu-tiâu,"
生活對話,生活對話,Sing-ua̍h Tuì-uē,Seng-oa̍h Tùi-ōe
正當台灣還像三零年代在爭論台語要怎麼寫成漢字的時候，,當當台灣猶親像三空年代咧爭論台語欲按怎寫做漢字的時，,"tng tang Tâi-uân iáu tshin-tshiūnn sam khòng nî-tāi leh tsing-lūn Tâi-gí beh án-tsuánn siá tsò hàn-jī ê sî,","tng tang Tâi-oân iáu chhin-chhiūⁿ sam khòng nî-tāi leh cheng-lūn Tâi-gí beh án-chóaⁿ siá chò hàn-jī ê sî,"
是我以前不曾考慮過的居家色彩！,是以早我毋捌咧考慮的居家色水！,sī í-tsá guá m̄ bat leh khó-lū ê ki-ka sik-tsuí!,sī í-chá góa m̄ bat leh khó-lū ê ki-ka sek-chúi!
已經是黃昏，,已經日黃昏，,"í-king ji̍t hông-hun,","í-keng ji̍t hông-hun,"
都市來的傻瓜）,都市戇）,too-tshī-gōng ),to͘-chhī-gōng)
下著毛毛雨，,天落霎霎仔雨，,"thinn lo̍h sa̍p-sa̍p-á-hōo,","thiⁿ lo̍h sa̍p-sa̍p-á-hō͘,"
我家的電話號碼是零七二零七六一零四,阮兜的電話號碼是空七二空七六一空四,gún tau ê tiān-uē hō-bé sī khòng tshit jī khòng tshit lio̍k it khòng sù,gún tau ê tiān-ōe hō-bé sī khòng chhit jī khòng chhit lio̍k it khòng sù
所以來這都是來看、來學跟游泳有關，,所以來遮攏是來看、來學佮泅水有關，,"sóo-í lâi tsia lóng-sī lâi khuànn, lâi o̍h kah siû-tsuí iú-kuan,","só͘-í lâi chia lóng-sī lâi khòaⁿ,lâi o̍h kah siû-chúi iú-koan,"
透過窗戶溫柔穿進來。,透過窗仔溫柔軁入來。,thàu-kuè thang-á un-jiû nǹg--ji̍p-lâi.,thàu-kòe thang-á un-jiû nǹg--ji̍p-lâi.
是心裡有數，至於顏色嘛,心肝頭是有把握，色緻嘛,"sim-kuann-thâu sī ū pá-ak, sik-tī--mah","sim-koaⁿ-thâu sī ū pá-ak,sek-tī--mah"
奶奶邊講邊眼眶紅。,阿媽那講那目箍紅。,a-má ná kóng ná ba̍k-khoo âng.,a-má ná kóng ná ba̍k-kho͘ âng.
結束了很有意義的一天，,結束了真有意義的一工，,"kiat-sok liáu tsin ū ì-gī ê tsi̍t kang,","kiat-sok liáu chin ū ì-gī ê chi̍t kang,"
色調稍顯內斂的大圓龍鳳，,色調小可仔偏閉思的大圓龍鳳，,"sik-tiāu sió-khuá-á phian pì-sù ê tuā înn long-hōng,","sek-tiāu sió-khóa-á phian pì-sù ê tōa îⁿ long-hōng,"
