中文,台文,台羅
歐巴瑪的普選票得票率是LyndonJohnson總統以來，民主黨總統候選人得票最高的一次。,Obama的普選票得票率是Johnson總統以來，民主黨總統候選人得票上懸的一屆。,Obama ê phóo-suán phiò tit-phiò lu̍t sī Johnson tsóng-thóng í-lâi，bîn-tsú-tóng tsóng-thóng hāu-suán-jîn tit-phiò siāng-kuân ê tsi̍t-kài。
布希總統立即致電歐巴瑪道賀。,Bush總統隨拍電話向Obama恭喜。,Bush tsóng-thóng suî phah-tiān-uē hiànn Obama kiong-hí。
民主黨在參眾兩院選舉也是贏家，在已開出的票中，民主黨在一百席的參院雖未跨過六十席門檻，但已取得五十六席，在眾院的席次也增為二百五十二席。,民主黨佇參眾兩院攏是贏的，佇已經開出的票當中，民主黨佇一百席的參院雖然無伐過六十席的戶橂，但是已取得五十六席，佇眾院的席次⿳ㄨㄢ⿳⿳ㄋㄚˋ增加到兩百五十二席。,bîn-tsú-tóng tī tsham-tsiòng-nn̄g-īnn lóng-sī iânn-ê，tī í-king khui-tshut ê phiò tong-tiong，bîn-tsú-tóng tī tsi̍t-pah-si̍k ê tsham-īnn sui-jiân bô hua̍h-kè la̍k-tsa̍p-si̍k ê hōo-tīng，tān-sī í tshú-tit gōo-tsa̍p-la̍k-si̍k，tī tsiòng-īnn ê si̍k-tshù uan-ná tsing-ka-kàu nn̄g-pah gōo-tsa̍p-jī si̍k。
百名認養兒遍佈全球他是聯合國爸爸。,百名認養兒遍佈全球伊是聯合國阿爸。,pah-miâ jīn-ióng-jî phiàn-pòo tsuân-kiû i-sī liân-ha̍p-kok a-pa。
他是「聯合國爸爸」，認養的兒童遍及國內外！,伊是「聯合國阿爸」，認養的兒童遍及國內外！,i-sī「liân-ha̍p-kok a-pa」，jīn-ióng-ê jî-tông piàn-ki̍p kok-lāi-guā！
台南縣新營市大宏里里長，蔡崇名小時候生活困苦，早年父母籌措學費的傷神表情，讓他發願認養兒童，不忍學生因為家貧因而失學，這份愛心還延伸至國外；家扶基金會統計，二十一年來認養的人數超過一百人，捐助認養費用超過三百萬元。,臺南縣新營市大宏里里長，蔡崇名細漢時生活困苦，早年爸母傱攢學費的損神表情，予伊下願認養兒童，毋甘學生因為散赤所以失學，這份愛心猶延長到國外；家扶基金會統計，二十一年來認養的人數超過一百人，捐助認養費用超過三百萬。,tâi-lâm-kuān sin-iânn-tshī tāi-hông-lí lí-tiúnn，tshuà-tsông-bîng sè-hàn-sî sing-ua̍h-khùn-khóo，tsá-nî pē-bó tsông-tshuân ha̍k-huì-ê sńg-sîn-piáu-tsîng，hōo-i hē-guān jīn-ióng jî-tông，m̄-kam ha̍k-sing in-uī sàn-tshiah sóo-í sit-ha̍k，tsit-hūn ài-sim iáu-iân-tn̂g-kàu kok-guā；ka-hû-ki-kim-huē thóng-kè，jī-tsa̍p-it-nî-lâi jīn-ióng-ê jîn-sòo tshiau-kuè tsi̍t-pah-lâng，kuan-tsōo jīn-ióng huì-iōng tshiau-kuè sann-pah-bān。
蔡崇名目前還是十八個認養兒，還是國內、國外各半的乾爹，是雲嘉南區最多乾兒子的愛心爸爸。,蔡崇名目前猶是十八个認養兒，猶是國內、國外對半的契爸，是雲嘉南區上濟契囝的愛心阿爸。,tshuà-tsông-bîng bo̍k-tsîng iáu-sī tsa̍p-peh-ê jīn-ióng-jî，iáu-sī kok-lāi、kok-guā tuì-puànn-ê khuè-pē，sī hûn-ka-lâm-khu siāng-tsē khè-kiánn ê ài-sim-a-pa。
家扶中心社工和認養兒，稱呼他是「聯合國爸爸」，代表他的愛心不分海內外，更加重要是持續至今，對他有著深深感恩和尊敬。,家扶中心社工佮認養兒，稱呼伊是「聯合國阿爸」，代表伊的愛心無分海內外，更加重要是連紲到今，對伊有著深深感恩佮尊敬。,ka-hû-tiong-sim siā-kang kah jīn-ióng-jî，tshing-hoo i-sī「liân-ha̍p-kok a-pa」，tāi-piáu i-ê ài-sim bô-hun hái-lāi-guā，kìng-ka tiōng-iàu-sī liân-suà kàu-tann，tuì-i ū-tio̍h tshim-tshim kám-in kah tsun-kìng。
非洲、南美洲都有乾兒子，二十一年來，蔡崇名認養兒童總數超過一百人，其中國外小孩最遠住在非洲幾內亞，也有南美洲巴西、印度、瓜地馬拉，認養時間最久的是一位國內兒童，將近二十年。,非洲、南美洲攏有契囝，二十一年來，蔡崇名兒童總數超過一百人，其中國外囡仔上遠蹛佇非洲Guinea，嘛有南美洲巴西、印度、Guatemala，認養時間上久的是一位國內兒童，接近二十年。,hui-tsiu、lâm-bí-tsiu lóng-ū khè-kiánn，jī-tsa̍p-it-nî-lâi，tshuà-tsông-bîng jî-tông tsóng-sòo tshiau-kuè tsi̍t-pah-lâng，kî-tiong kok-guā gín-á siāng-hn̄g tuà-tī hui-tsiu Guinea，mā-ū lâm-bí-tsiu pa-se、ìn-tōo、Guatemala，jīn-ióng sî-kan siāng-kú-ê sī tsi̍t-uī kok-lāi jî-tông，tsiap-kīn jī-tsa̍p-nî。
對蔡崇名來說，孩子的膚色雖然不一樣，但是都是他的寶貝。,對蔡崇名來講，囡仔的肉色雖然無仝款，毋過攏是伊的寶貝。,tuì tshuà-tsông-bîng lâi-kóng，gín-á-ê bah-sik sui-jiân bô-kāng-khuán，m̄-koh lóng-sī i-ê pó-puè。
蔡崇名是現任新營市大宏里長，和新營公益慈善基金會董事長。,蔡崇名是在任新營市大宏里長，佮新營公益慈善基金會董事長。,tshuà-tsông-bîng sī tsāi-jīm sin-iânn-tshī tāi-hông-lí-tiúnn，kah sin-iânn kong-ik-tsû-siān-ki-kim-huē táng-sū-tiúnn。
以前四個兄弟姊妹小時候跟著父母，從貧苦的布袋海邊搬至新營謀生，日子並不好過，還與媽媽在新營火車站前面賣麵；他回想小時候，父母為了籌措學費的苦惱表情，產生助學念頭，不忍家貧小孩有艱苦求學路，二十一年前剛剛好母親身體不好，他發願認養助學，也盼望母親身體好起來。,早前四个兄弟姊妹細漢時綴著爸母，對貧苦的布袋海邊搬到新營謀生，日子柄無好過，猶和老母佇新營火車頭頭前賣麵；伊回想囡仔時，爸母為著傱攢學費的苦惱表情，產生助學念頭，毋甘散赤囡仔有艱苦求學路，二十一年前拄仔好老母身體毋好，伊發願認養助學，嘛向望老母身體勇起來。,tsá-tsîng sì-ê hiann-tī-tsí-bē sè-hàn-sî tè-tio̍h pē-bó，tuì pîn-khóo-ê pòo-tē hái-pinn puann-kàu sin-iânn bôo-sing，ji̍t-tsí pìng-bô-hó-kuè，iáu-hâm lāu-bú tī sin-iânn-hé-tshia-thâu thâu-tsîng buē-mī；i huê-sióng gín-á-sî，pē-bó uî-tio̍h tsông-tshuân ha̍k-huì-ê khóo-náu piáu-tsîng，sán-sing tsōo-ha̍k liām-thâu，m̄-kam sàn-tshiah gín-á ū-kan-khóo kiû-ha̍k-lōo，jī-tsa̍p-it-nî-tsîng tú-á-hó lāu-bú sin-thé m̄-hó，i huat-guān jīn-ióng tsōo-ha̍k，mā-ǹg-bāng lāu-bú sin-thé ióng-khí-lâi。
蔡崇名以個人所得認養兒童，家扶請求支援和提供認養對象，都是來者不拒，他說「有能力做，就多做一些」，他不要求回報，最高興的事情就是看到認養兒長大。,蔡崇名用個人所得認養兒童，家扶請求支援佮提供認養對象，攏是來者無拒絕，伊講「有能力，都加做寡」，伊無要求回報，上歡喜的代誌都是看著認養兒大漢。,tshuà-tsông-bîng iōng kò-jîn-sóo-tik jīn-ióng jî-tông，ka-hû tshíng-kiû tsi-uān kah thê-kiong jīn-ióng tuì-siōng，lóng-sī lâi-tsiá-bô-kū-tsua̍t，i-kóng「ū-lîng-li̍k，to-ke-tsò-kuá」，i-bô-iau-kiû huê-pò，siāng-huann-hí-ê tāi-tsì to-sī khuànn-tio̍h jīn-ióng-jî tuā-hàn。
蔡崇名熱心公益的善行，今年被提名角逐全國好人好事，不過是否不得獎已經不重要，因為在認養兒心中，他是永遠的「第一名」爸爸。,蔡崇名熱心公義的善行，今年被提名相爭全國好人好事，毋過是毋是得獎已經無重要，因為佇認養兒的內心，伊是永遠的「第一名」阿爸。,tshuà-tsông-bîng jia̍t-sim-kong-gī ê siān-hīng，kin-nî pī-thê-miâ sann-tsenn tsuân-kok hó-lâng-hó-sū，m̄-koh sī-m̄-sī tit-tsióng í-king bô-tiōng-iàu，in-uī-tī jīn-ióng-jî ê lāi-sim，i-sī íng-uán-ê「tē-it-miâ」a-pa。
抗議警察施暴學界串聯靜坐記者范正祥、駐歐洲特派員胡蕙寧綜合報導數百名經由網路串聯，來自全台灣各地的大學生，教授、文化工作者，昨天自發性地集結於行政院大門口前，抗議傷害台灣人民的基本人權，「著黑衣、戴口罩」和平的靜坐，抗議警方於陳雲林來台灣的這段時間，維安執法過當，表達最強烈抗議。,抗議警察施暴學界串聯靜坐記者范正祥、駐歐洲特派員胡蕙寧綜合報導數百名經過網路串聯，來自全臺灣各地的大學生、教授、文化工作者，昨日自發性集結佇行政院大門口前，抗議傷害臺灣人民的基本人權，「穿烏衫、戴喙罨」和平的靜坐，抗議警方佇陳雲林來臺灣的這段時間，維安執法過當，表達上強烈抗議。,khòng-gī kíng-tshat si-pō ha̍k-kài tshuàn-liân tsīng-tsōkì-tsiá huān-tsìng-siông、tsù-au-tsiu ti̍k-phài-uân hôo-huī-lîng tsong-ha̍p-pò-tōsòo-peh-miâ king-kuè bāng-lōo tshuàn-liân，lâi-tsū tsuân-tâi-uân kok-tē-ê tāi-ha̍k-sing、kàu-siū、bûn-huà kang-tsok-tsiá，tso̍h-ji̍t tsū-huat-sìng tsi̍p-kiat-tī hîng-tsìng-īnn tuā-bûn-kháu-tsîng，khòng-gī siong-hāi tâi-uân jîn-bîn ê ki-pún-jîn-kuân，「tshng-oo-sann、tì-tshuì-am」hô-pîng-ê tsīng-tsō，khòng-gī kíng-hong tī tân-hûn-lîm lâi-tâi-uân ê tse-tuānn sî-kan，î-an tsip-huat kuè-tòng，piáu-ta̍t siāng-kiông-lia̍t khòng-gī。
政府為了接待陳雲林不惜破壞台灣的民主，讓人感到無法理解與不滿，英國台灣協會對於馬英九政府，「只談經濟、拋開主權」的態度，要求馬英九政府和行政院長，必須公開向國人道歉，警政署長王卓鈞、國安局長蔡朝明立刻下台，立法院應該儘快修改，限制人民權利的集會遊行法。,政府為著接待陳雲林無惜破壞臺灣的民主，予人感覺著無法理解和不滿，英國臺灣協會對於馬總統政府，「干焦講經濟、拋棄主權」的態度，要求馬英九政府佮行政院長，必須公開向國人道歉，警政署長王卓鈞、國安局長蔡朝明立刻下台，立法院應該趕緊修改，限制人民權利的集會遊行法。,tsìng-hú uī-tio̍h tsiap-thāi tân-hûn-lîm bô-sioh phò-huāi tâi-uân-ê bîn-tsú，hōo-lâng kám-kak-tio̍h bô-huat lí-kái hâm put-buán，ing-kok tâi-uân-hia̍p-huē tuì-î má-tsóng-thóng-tsìng-hú，「kan-na-kóng king-tsè、phau-khì-tsú-kuân」ê thài-tōo，iau-kiû má-ing-kiú-tsìng-hú kah hîng-tsìng-īnn-tiúnn，pit-su kong-khai-hiòng kok-jîn tō-khiam，kíng-tsìng-sū-tiúnn ông-toh-kun、kok-an-kio̍k-tiúnn tshuà-tiâu-bîng li̍p-khik hā-tâi，li̍p-huat-īnn ing-kai kuánn-kín siu-kái，hān-tsè jîn-bîn kuân-lī ê tsi̍p-huē-iû-hîng-huat。
交通大學人文社會學系助理教授許維德等許多教授，昨日也發起「捍衛自由人權、抗議警察暴力」的靜坐連署活動，呼應在台北的學界靜坐訴求，獲得很多教授及學生響應。,交通大學人文社會系助理教授許維德頂濟濟教授，昨日嘛發起「捍衛自由人權、抗議警察暴力」的靜坐連署發動，咻應佇臺北的學界靜坐訴求，獲得誠濟教授佮學生響應。,kau-thong-tāi-ha̍k jîn-bûn-siā-huē-hē tsōo-lí-kàu-siū khóo-uî-tik tíng tsuē-tsuē kàu-siū，tso̍h-ji̍t mā-huat-khí「hān-uē tsū-iû-jîn-kuân、khòng-gī kíng-tshat po̍k-li̍k」ê tsīng-tsō liân-sū huat-tōng，hiu-ìng tī tâi-pak-ê ha̍k-kài tsīng-tsō sòo-kiû，hi̍k-tit tsiânn-tsē kàu-siū kah ha̍k-sing hiáng-ìng。
這群以大學生為主，強調不是政黨或是團體動員的抗議群眾，他們痛批海協會代表團來台灣短短幾天，台灣人民好不容易建立的民主自由體制，在滿城警力、威嚇的氛圍與強勢的防堵中，台灣的民主自由幾近崩解。,這陣以大學生為主，強調毋是政黨抑是團體動員的抗議群眾，𪜶痛批海協會代表團來臺灣短短幾日，臺灣人民好不容易建立的民主自由體制，佇滿城警力、威嚇的氣氛和強勢的圍堵中，臺灣的民主自由活欲瓦解。,tsit-tīn í tāi-ha̍k-sing uî-tsú，kióng-tiāu m̄-sī tsìng-tóng ah-sī thuân-thé tōng-uân-ê khòng-gī kûn-tsiòng，in thòng-phe hái-hia̍p-huē tāi-piáu-thuân lâi-tâi-uân té-té kuí-li̍t，tâi-uân-jîn-bîn hó-put-iông-ī kiàn-li̍p-ê bîn-tsú-tsū-iû thé-tsè，tī buán-siânn kíng-li̍k、ui-hik-ê khì-hun hâm kiông-sì-ê uî-tóo-tiong，tâi-uân-ê bîn-tsú-tsū-iû ua̍h-beh uá-kái。
政府在如同警察國家的武裝保護裡面，自我陶醉於歷史性儀式的想像，及輪番的酒宴當中，憲法保障人民的自由言論與行動權利，全被擱置、甚至忘卻。,政府佇若親像警察國家的武裝保護內頭，自我開科佇歷史性儀式的想像，佮輪番的啉酒攤當中，憲法保障人民的言論自由和行動權利，攏被按下、甚至袂記。,tsìng-hú tī ná-tshin-tshiūnn kíng-tshat-kok-ka ê bú-tsong pó-hōo lāi-thâu，tsū-ngóo-khai-kho tī li̍k-sú-sìng gî-sik-ê sióng-siōng，kah lûn-huan-ê lim-tsiú-thuann tong-tiong，hiàn-huat pó-tsiòng jîn-bîn-ê giân-lūn-tsū-iû hâm hîng-tōng-kuân-lī，lóng-pī-àn-hā、sīm-tsì-bē-kì。
警方數度向抗議群眾舉牌，但是學生們並不打算退場。,警方幾擺向抗議群眾夯牌仔，毋過學生並無按算退讓。,kíng-hong kuí-pái hiòng khòng-gī kûn-tsiòng giâ-pâi-á，m̄-koh ha̍k-sing pīng-bô-àn-sǹg thè-niū。
他們強調，已經不是維安有無過當的技術問題，也不只是政黨認同選擇的問題，這是暴力化的國家政權，對市民社會的嚴重挑釁和侵犯。,𪜶強調，已經毋是維安有無過當的技術問題，嘛毋若是政黨認同選擇的問題，這是暴力化的國家政權，對市民社會的嚴重惹空佮侵犯。,in kióng-tiāu，í-king m̄-sī î-an ū-bô kuè-tòng ê ki-su̍t būn-tê，mā-m̄-nā-sī tsìng-tóng jīn-tông suán-ti̍k-ê būn-tê，tsit-sī pō-li̍k-huà ê kok-ka-tsìng-kuân，tuì tshī-bîn siā-huē-ê giâm-tiōng jiá-khang kah tshim-huān。
難道要強化兩岸經貿交流，也必須透過降低台灣的民主自由程度，來達成與中國同樣極權統治的水準？,敢講欲強化兩岸經貿交流，嘛必須透過降低臺灣的民主自由程度，來達成和中國仝款極權統治的水準？,kám-kóng bueh-kiông-huà lióng-gān king-bōo kau-liû，mā-pit-su thàu-kuè kàng-kē tâi-uân-ê bîn-tsú-tsū-iû thîng-tōo，lâi-ta̍t-sîng hâm tiong-kok kâng-khuán ki̍k-kuân-thóng-tī ê tsuí-tsún？
另外，英國台灣協會在五日，針對陳雲林訪台灣發出聲明抗議，認為民主的台灣，不容擅權違憲以及侵犯自由與壓迫人權。,另外，英國臺灣協會佇五號，針對陳雲林訪臺灣發出聲明抗議，認為民主的臺灣，袂用得亂煮來違憲以及侵犯自由和壓迫人權。,līng-guā，ing-kok tâi-uân-hia̍p-huē tī gōo-hō，tsiam-tuì tân-hûn-lîm hóng-tâi-uân huat-tshut sing-bîng khòng-gī，jīn-uî bîn-tsú-ê tâi-uân，bē-īng-tit luān-tsú-lâi uî-hiàn í-ki̍p tshim-huān tsū-iû hâm ap-pik jîn-kuân。
行政院驅離學生轉赴自由廣場靜坐記者林嘉琪、陳宣瑜、黃建華、劉慶侯綜合報導「迎『陳』如同戒嚴」，兩百多名大學師生與社運團體，經過網路串連，號召大概六百人，連續兩天在行政院前面靜坐，抗議政府對中國海協會會長陳雲林，進行高標準的「戒嚴式維安動作」，嚴重侵犯台灣民眾人身自由。,行政院驅離學生轉往自由廣場靜坐記者林嘉琪、陳漩由、黃建華、劉慶侯綜合報導「迎『陳』親像戒嚴」，兩百幾名大學師生和社運團體，經過網路串連，號召大概六百人，連紲兩工佇行政院頭前靜坐，抗議政府對中國海協會會長陳雲林，進行高標準的「戒嚴式維安動作」，嚴重侵犯臺灣民眾人身自由。,hîng-tsìng-īnn khu-lî ha̍k-sing tsuán-óng tsū-iû-kóng-tiûnn tsīng-tsōkì-tsiá lîm-ka-kî、tân-suan-iû、n̂g-kiàn-huâ、lâu-khìng-hâu tsong-ha̍p-pò-tō「ngiâ『tân』tshin-tshiūnn kài-giâm」，nn̄g-pah-kuí-miâ tāi-ha̍k-su-sing hâm siā-ūn-thuân-thé，king-kuè bāng-lōo tshuàn-liân，hō-tiàu tāi-khài la̍k-pah-lâng，liân-suà nn̄g-kang tī hîng-tsìng-īnn thâu-tsîng tsīng-tsō，khòng-gī tsìng-hú tuì tiong-kok-hái-hia̍p-huē huē-tiúnn tân-hûn-lîm，tsìn-hîng ko-phiau-tsún-ê「kài-giâm-sik î-an tōng-tsok」，giâm-tiōng tshim-huān tâi-uân bîn-tsiòng jîn-sin-tsū-iû。
他們提出，「馬、劉道歉，官員下台，及立法院修法」等三大訴求，但是苦坐卅小時之後，不但未獲得任何回應，反而遭到大批警力連拉帶推、又抬又抓送上警備車，多數學生激動落淚。,𪜶提出，「馬、劉道歉，官員落台，佮立法院修法」頂三大訴求，毋過苦坐三十點鐘了後，毋但未獲得任何回應，顛倒拄著大批警力連搝兼捒、閣扛閣搦送上警備車，多數學生激動目屎流。,in thê-tshut，「má、lâu tō-khiam，kuann-uân lo̍h-tâi，kah li̍p-huat-īnn siu-huat」tíng sam-tuā sòo-kiû，m̄-koh khóo-tsē sam-tsa̍p-tiám-tsing liáu-āu，m̄-nā buē-hi̍k-tik jīm-hô huê-ìng，tian-tò tú-tio̍h tuā-phe kíng-li̍k liân-giú-kiam-sak、koh-kng-koh-la̍k sàng-tsiūnn kíng-pī-tshia，to-sòo ha̍k-sing kik-tōng ba̍k-sái-lâu。
警方表示，由於學生是從台大PTT集結，因此把他們載回去台大。,警方表示，因為學生是對臺大PTT集合，因此共𪜶載倒轉臺大。,kíng-hong piáu-sī，in-uī ha̍k-sing sī-tuì tâi-tāi PTT tsi̍p-ha̍p，in-tshú kā in tsài-tò-tńg tâi-tāi。
但是師生們隨後轉往自由廣場集結，繼續抗議，昨天深夜並組成七人決策小組，推出政大台灣歷史研究所研究生嚴婉玲為首，未來所有行動決策，都由決策小組議決。,毋過師生𪜶綴尾轉往自由廣場集合，繼續抗議，昨日深夜併組成七人決策小組，推出政大臺灣歷史研究所研究生嚴婉玲做頭，未來所有行動決策，攏予決策小組議決。,m̄-koh su-sing-in tuè-bué tsuán-óng tsū-iû-kóng-tiûnn tsi̍p-ha̍p，kè-sio̍k khòng-gī，tso̍h-ji̍t tshim-iā pìng-tsoo-sîng tshit-lâng kuat-tshik-sió-tsoo，thui-tshut tsìng-tāi tâi-uân-li̍k-sú-gián-kiù-sóo gián-kiù-sing giâm-uán-lîng tsò-thâu，bī-lâi sóo-ū hîng-tōng kuat-tshik，lóng-hōo kuat-tshik-sió-tsoo gī-kuat。
台北市警察局中正一分局表示，發起「一一Ｏ六活動」的成員，台大社會系助理教授李明璁和學生，在被驅離以後轉往自由廣場靜坐，因為目前不會對交通造成妨礙，或是喧譁的情形，警方舉牌蒐證之後，暫時不會再驅離。,臺北市警察局中正一分局表示，發起「一一空六活動」的成員，臺大社會系助理教授李明璁佮學生，佇被驅離以後轉往自由廣場靜坐，因為目前袂對交通造成妨礙，抑是嘩嘩滾的情形，警方夯牌仔蒐證了後，暫時無閣再驅離。,tâi-pak-tshī kíng-tshat-kio̍k tiong-tsìng-it-hun-kio̍k piáu-sī，huat-khí「it-it-khòng-lio̍k ua̍h-tāng」ê sîng-uân，tâi-tāi siā-huē-hē tsōo-lí-kàu-siū lí-bîng-tshong kah ha̍k-sing，tī pī-khu-lî í-āu tsuán-óng tsū-iû-kóng-tiûnn tsīng-tsō，in-uī bo̍k-tsiân bē-tuì kau-thong tsō-sîng hông-gāi，ah-sī huā-huā-kún-ê tsîng-hîng，kíng-hong giâ-pâi-á soo-tsìng liáu-āu，tsiām-sî bô-koh-tsài khu-lî。
但是「一一Ｏ六活動」未經過申請獲准，本身就是違法行為，今天再視情況，舉牌警告制止和蒐證，再依照違反集遊法，把帶頭的李明璁函送地檢署。,毋過「一一空六活動」無經過申請獲准，本身就是違法行為，今仔日閣看狀況，夯牌仔警告遏止佮蒐證，閣按照違反集遊法，共𤆬頭的李明璁函送地檢署。,m̄-koh「it-it-khòng-lio̍k ua̍h-tāng」bô-king-kuè sin-tshíng hi̍k-tsún，pún-sin tio̍h-sī uî-huat-hîng-uî，kin-á-ji̍t koh-khuànn tsōng-hóng，giâ-pâi-á kíng-kò at-tsí kah soo-tsìng，koh-àn-tsiàu uî-huán tsi̍p-iû-huat，kā tshuā-thâu-ê lí-bîng-tshong hâm-sàng tē-kiám-sú。
警方說昨晚是徒手驅離學生和老師，但是李明璁出示驗傷單指控，警察暴力濫權違法，他說自己被警察驅離之後，七、八個警察圍毆他，造成手臂、腹部多處擦傷，但是警方強調是平和把人抬離並未打人。,警方港昨暗是空手驅離學生佮老師，毋過李明璁出示驗傷單指控，警察暴力浪權違法，伊講家己被警察驅離了後，七、八个警察圍咧拍伊，造成手後具、腹肚濟位擦傷，毋過警方強調是平和咬人扛走併無拍膿。,kíng-hong káng tsa-àm-sī khang-tshiú khu-lî ha̍k-sing kah lāu-su，m̄-koh lí-bîng-tshong tshut-sī giām-siong-tuann tsí-khòng，kíng-tshat pō-li̍k lōng-khuân uî-huat，i-kóng ka-kī pī kíng-tshat khu-lî liáu-āu，tshit、pat-ê kíng-tshat uî-leh-phah i，tsō-sîng tshiú-āu-khū、pak-tóo tsuē-uī tshat-siong，m̄-koh kíng-hong kiông-tiāu sī pîng-hô kā-lâng kng-tsáu pìng-bô-phah-lâng。
