台文,台羅,中文
竹篙叉,tik-ko-tshe,有Y字型開叉竹竿的樹椏
叉人的頷頸。,Tshe lâng ê ām-kún. ,掐別人的脖子。
拍叉做記號。,Phah tshe tsò kì-hō. ,打叉做記號。
用話叉人,īng uē tshe--lâng,用話頂撞別人
店門口,tiàm mn̂g-kháu,商店門口
一口井,tsi̍t kháu tsénn,一口井
一口劍,tsi̍t kháu kiàm,一把劍
一家口,tsi̍t ke-kháu,一家人
一口灶,tsi̍t kháu-tsàu,一戶
土地,thóo-tē,土地
伊的人較土。,I ê lâng khah thóo. ,他的個性較老土。
本土,pún-thóo,本土
土產,thóo-sán,土產
博士,phok-sū,博士
士農工商,sū lông kang siong,士農工商
大官,ta-kuann,公公
大家,ta-ke,婆婆
大量,tāi-liōng,大量
大德,tāi-tik,大德
阮大兄大我三歲。,Guán tuā-hiann tuā guá sann huè. ,我大哥比我大三歲。
大紅,tuā-âng,深紅色
大人,tuā-lâng,大人
大昨日,tuā-tso̍h--ji̍t,大前天
大後日,tuā-āu--ji̍t,大後天
大伯,tuā-peh,大伯父
囡仔會大，早慢是愛離開。,"Gín-á ē tuā, tsá-bān sī ài lī-khui. ",小孩子會長大，遲早得要離開。
婦女,hū-lí,婦女
女權,lú khuân,女權
銃子,tshìng-tsí,子彈
果子,kué-tsí,水果
菜子,tshài-tsí,菜種
烏魚子,oo-hî-tsí,烏魚子
公子,kong tsú,稱人子
孝子,hàu-tsú,孝順的兒子。也指父母死後，居喪守孝的兒子
孔子公,Khóng-tsú-kong,孔子
女子,lú-tsú,女子
男子,lâm-tsú,男子
子弟,tsú-tē,子弟
弟子,tē-tsú,弟子
子丑寅卯,tsú thiú în báu,地支前四位
子時,tsú-sî,晚上十一點至第二天凌晨一點
面子,bīn-tsú,面子
棋子,kî-jí,棋子
算盤子,sǹg-puânn-jí,算盤子
一子弓蕉,tsi̍t jí king-tsio,一根香蕉
陰鴆陰鴆，咬人三寸深。,"Im-thim-im-thim, kā lâng sann tshùn tshim. ",一般陰沉的人，平常多是默不作聲，一狠起來，就會狠咬一口。
寸步難行,tshùn pōo lân hîng,一小步也行走不得，喻處境困窘。
小寒,siáu-hân,二十四節氣之一，冬至過後十五天，因天候寒冷所以有這個名稱。
小女,siáu-lú,自己的女兒
小湧,sió íng,小浪
小可,sió-khuá,稍微、一點點
小叔仔,sió-tsik-á,丈夫的弟弟
阿里山,A-lí-san,阿里山
懸山,kuân suann,高山
起山,khí-suann,登陸
山園,suann-hn̂g,旱田
山地,suann-tē,旱地或指山很多的地區
我一禮拜愛上班五工。,Guá tsi̍t lé-pài ài siōng-pan gōo kang. ,我一禮拜要上五天班。
勞工,lô-kang,勞工
工人,kang-lâng,工人
木工,ba̍k-kang,木工
工程,kang-tîng,工程
伊刻這粒印仔真了工。,I khik tsit lia̍p ìn-á tsin liáu-kang. ,他刻這顆印章花很多時間。
我無彼號閒工佮你開講。,Guá bô hit-lō îng-kang kah lí khai-káng. ,我沒有多餘的時間跟你聊天。
工尺,kong-tshe,工尺
安份守己,an-hūn-siú-kí,安份守己
自己,tsū-kí,自己
巳時,tsī-sî,上午九點到十一點
面巾,bīn-kin,毛巾
手巾仔,tshiú-kin-á,手帕
干戈,kan ko,盾和矛，原指兵器，後多引申為戰爭。
天干,thian kan,甲乙丙丁戊己庚辛壬癸十天干
干涉,kan-sia̍p,干涉
干犯,kan-huān,冒犯、侵犯
弓箭,king tsìnn,弓箭
衫弓仔,sann-king-á,衣架
弓蕉,king-tsio,香蕉
弓大豬,king tuā ti,以過量餵養的方式，把豬隻的體型在短時間之內撐得更大，通常在即將販售或競賽之前進行。
大步弓,tuā pōo king,張大步伐快速走
一弓弓蕉,tsi̍t king king-tsio,一枝香蕉花所結的一長串香蕉
才調,tsâi-tiāu,本事、能力
無才,bô-tsâi,沒本事
將才,tsiòng-tsâi,將才
秀才,siù tsâi,秀才
奴才,lôo-tsâi,奴才
這馬我才知影伊是騙我的。,Tsit-má guá tsiah tsai-iánn i sī phiàn--guá--ê. ,現在我才知道他是騙我的。
伊才十七歲爾爾，袂使啉酒。,"I tsiah tsa̍p-tshit huè niā-niā, bē-sái lim tsiú. ",他才十七歲而已，不能喝酒。
我才無欲相信你講的話！,Guá tsiah bô beh siong-sìn lí kóng ê uē! ,我才不相信你說的話！
後擺我才共你講。,Āu pái guá tsiah kā lí kóng. ,以後我再告訴你。
電影看煞才來去食飯。,Tiān-iánn khuànn-suah tsiah lâi-khì tsia̍h-pn̄g. ,電影看完再去吃飯。
這款木材一才偌濟？,Tsit khuán bo̍k-tsâi tsi̍t tshâi guā-tsē? ,這種木材一才多少錢？
阮丈人明仔載欲起來臺北。,Guán tiūnn-lâng bîn-á-tsài beh khí-lâi Tâi-pak. ,我的岳父明天要北上到臺北。
三八人,sam-pat lâng,傻氣不正經的人
伊是一个土人，講話較凊彩，你毋通佮伊計較。,"I sī tsi̍t ê thóo-lâng, kóng-uē khah tshìn-tshái, lí m̄-thang kah i kè-kàu. ",他是一個粗人，說話比較隨便，你不要跟他計較。
警察大人,kíng-tshat tāi-jîn,警察大人
大人儉一喙，囡仔食甲飫。,"Tuā-lâng khiām tsi̍t tshuì, gín-á tsia̍h kah uì. ",大人少吃一口，小孩子就可以吃得飽，甚至吃到膩了。
囡仔猶閣細漢，你毋通共拍甲遐爾仔大力。,"Gín-á iáu-koh sè-hàn, lí m̄-thang kā phah kah hiah-nī-á tuā-la̍t. ",孩子還小，你不要打得那麼用力。
對臺北坐高鐵到臺中上久是一點捅鐘。,Tuì Tâi-pak tsē ko-thih kàu Tâi-tiong siōng-kú sī tsi̍t-tiám-thóng-tsing. ,從臺北坐高鐵到臺中最久是一個多小時。
頂禮拜阮一陣人上山去看風景。,Tíng lé-pài guán tsi̍t tīn lâng tsiūnn-suann khì khuànn hong-kíng. ,上個禮拜我們一群人登山去看風景。
我欲準備下山矣。,Guá beh tsún-pī hā-san--ah. ,我要準備下山了。
伊久久才來一擺。,I kú-kú tsiah lâi tsi̍t pái. ,他相隔很久才來一次。
伊拍一下傷大下，箠仔煞斷去。,"I phah tsi̍t-ē siunn tuā-ē, tshuê-á suah tn̄g--khì. ",他打得太用力，竹枝竟然斷掉了。
伊真小口，食袂濟。,"I tsin sió-kháu, tsia̍h bē tsē. ",他食量很小，吃不多。
男子漢大丈夫,lâm-tsú-hàn tāi-tiōng-hu,男子漢大丈夫
叫你莫，你干干仔欲！,"Kiò lí mài, lí kan-kan-á beh!",叫你不要，你偏要！
山頂的暗暝，會使看著千千萬萬粒星。,"Suann-tíng ê àm-mê, ē-sái khuànn-tio̍h tshian-tshian-bān-bān lia̍p tshenn. ",山上的夜晚，可以看到成千上萬顆星星。
姑婆的翁我愛叫伊「丈公」。,"Koo-pô ê ang guá ài kiò i ""tiūnn-kong"". ",姑婆的先生我要叫他「姑公」。
這馬下勻的少年人，想法佮阮往過攏無仝。,"Tsit-má ē-ûn ê siàu-liân-lâng, siūnn-huat kah guán íng-kuè lóng bô kāng. ",現在小一輩的年輕人，想法和我們以往不同。
大不了予人罵罵咧爾爾。,Tāi-put-liáu hōo lâng mē-mē--leh niā-niā. ,頂多被罵一罵而已。
伊三不五時就來阮兜行踏。,I sam-put-gōo-sî tō lâi guán tau kiânn-ta̍h. ,他不時來我們家串門子。
你這款土公仔性著愛改啦！,Lí tsit khuán thóo-kong-á-sìng tio̍h-ài kái--lah! ,你這種粗魯的個性要改一改！
