標題,內文,連結
【台語世界／錄音】真情實意,台灣字（白話字）版,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,Chin-chêng Si̍t-ì,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"E̍k-chêng ê koan-hē , chit 2 tang lâi tāi-ke lóng chū-jiân kiám-chió kìⁿ-bīn chū-chi̍p. Sui-jiân iau-ū tiān-ōe kap sī-sìn¸ m̄-koh iû-goân kám-kak koh khiàm kúi nā bī chin-si̍t.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"Chià-tio̍h téng-pòaⁿ-nî lâi ī-hông-siā chù-siā ê phó͘-kip kap hông-e̍k chhò͘-si ê chiâu-chn̂g, e̍k-chêng tńg-hô kap chhan-ím-gia̍p tio̍k-pō͘ khai-hòng , chū-gó͘ koán-lí ê bîn-chiòng chiām-chiām pang-sang sim-chêng khai-sí chhut-gōa oa̍h-tang. Pún-lâi bih-chhih bih-chhih ê ke-lō͘ kap tiàm-thâu 1 ê sî-chūn mā khai-sí nāu-jia̍t--khì-lâi.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"Kū-nî 11 goe̍h tiong¸ chiap-tio̍h Lâm-pō͘ ê kàu-siū pêng-iú kóng i beh tńg-lâi Pak-pō. Koh í-keng tī Sìn-gī-khu ê Ì-tāi-lī chhan-thiaⁿ “DA ANTONIO By 隨意鳥地方” tēng-ūi ¸iok góa chò-hóe chia̍h-pn̄g khai-káng. Lân-tit pêng-iú ùi lâm-pō͘ lâi sio-chhōe, koh àn-chóaⁿ bô-êng mā eng-kai tio̍h chhōe khang-khòe-phāng kap i kìⁿ-bīn chia̍h-pn̄g lim-ka-pi. Chiong-kīn 1 tang bô chò-hóe¸ kóng-bē-oân ê tin-tin-tang-tang. Hun-hióng sûi-lâng seng-oa̍h-chiūⁿ ê tiám-tiám-tih-tih. Hō͘-siōng kó͘-lē pí-chhú koan-sim. Phòe-ha̍p tio̍h chhan-thiaⁿ chiâⁿ súi ê chng-thāⁿ kap khì-hun¸ si̍t-chāi kám-kak chin hoaⁿ-hí mā chiok sio-lō.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"Iōng oân chhan¸ ho̍k-bū-seng m̄-nā sàng lâi ka-pi ím-liāu¸ koh sàng lâi siⁿ-ji̍t ke-nn̄g-ko! Chit-ūi hó-hiaⁿ-tī si̍t-chāi chiok tah-sim¸ iau ē kì-ti̍t kúi-ji̍t āu tio̍h sī góa ê siⁿ-ji̍t! Goân-pún siūⁿ kóng kin-á-ji̍t sī kap sù-siông sio-iok chia̍h-pn̄g kāng-khoán, siáng chai i sòa tiām-tiām-á chhut chit chiau¸ hō͘ góa chi̍t sî-chūn m̄-chai tio̍h kóng siáⁿ? Ba̍k-kîⁿ tâm-tâm kan-ta kā i ê chiú khan-leh ti̍t-ti̍t soeh to-siā. Sim-lāi sī chhiong-móa hoaⁿ-hí kap kám-tōng.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"Hôe-sióng che it-seng, pêng-sò͘ iau-kiû ka-kī kap lâng tàu-tīn tan-sûn sêng-khún¸ jia̍t-chêng si̍t-chāi. Ká-ná kám-kak tú-tio̍h--ê lóng-sī hó-lâng, Só͘ chih-chiap ê lóng bô pháiⁿ-lâng! Nā lūn-chin ài góa sǹg khòaⁿ tàu-té tn̄g-kòe kúi-ê tùi góa bái sīm-chì ū siong-hāi góa--ê¸ bián-kióng beh sǹg 5 ki chńg-thâu-á eng-kai áu bô 3 ki. Kî-si̍t góa sò͘-lâi tio̍h bē kah lâng sio-chiⁿ kè-kàu ê kò-sèng. Nā tú-tio̍h ok-ì ê phoe-phêng sīm-chì",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"kong-kek¸ thong-siông sī bô beh khì piān-po̍k chhái-chhú tîm-be̍k léng-chhú-lí. In-ūi sū-kiú kiàn-jîn-sim. Nā liáu-kái gō͘-hōe chiū chū-jiân tio̍h ē bô--khì¸ bô-pit-iàu khì-sin-nó͘-miā khì chìⁿ kah ām-kún-kin chéng-oaiⁿ-oaiⁿ. Che tio̍h-sī góa tiāⁿ-tiāⁿ leh kóng—ê: nā tú-tio̍h ì-kiàn khòaⁿ-hoat bô-kâng ê sî , siong-hó tio̍h sī the̍h-chhut “siān-ì ê phoe-phêng, sêng-khún ê kiàn-gī”.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,"Só͘-í góa chhim-chai hoân-sū kē-tiau báin chhiúⁿ gia̍h-thâu¸ bián chìⁿ bián chhiúⁿ¸ kap lâng tàu-tīn sêng-khún jia̍t-chêng, thán-pe̍k khóng-khài, mài ba̍k-thâu koân, khòaⁿ koân bô khòaⁿ kē! M̄-nā ē-tàng chū-jiân kap kok hong-bīn iu-sè ê lâng tàu-tīn, mā chù-ì tio̍h tông-lí sin-piⁿ jio̍k-sè ê pêng-iú. Chiâⁿ-chòe 1 ê un-loán koh siū hoaⁿ-gêng ê lâng.",https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】真情實意,讀hōo你聽：,https://www.peoplemedia.tw/news/6f4c191d-36fa-455d-a7fe-0d9126797754
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,我tú開始教冊ê時，因為是tī南部ê學校服務，為著beh kap學生仔有共同ê語言，kap家長有較好ê互動，所致我開始用台語kap家長連絡，kap學生囡仔講話mā盡量講台語。M̄-koh，會記得ū chi̍t pái我當leh kap學生輔導khai-phòa ê時，學生仔雄雄kā我應一句講：「老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？」我煞規个gāng--khì，我講ê台語kám會hō͘ 人聽無？,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,阮兜tòa tī台南，自細漢厝內ê序大人kap阮囡仔講話，四常攏mā是講台語，所以大部份較捷用--tio̍h ê日常用語，阮普普仔攏知。雖罔是tī這種四箍圍仔攏講母語ê環境內底大漢ê，M̄-koh阮兜ê囡仔攏是ē-hiáu聽，煞bô-siáⁿ  ē-hiáu講。高中畢業了後，我考tiâu台中ê大學，tī學校kap老師同學攏是用華語leh講話，因為按呢我講台語ê機會就愈來愈少啊！所以我ê台語bô-siáⁿ輾轉，腔口mā有淡薄仔怪怪。,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,自從學生囡仔講ê彼句話：「老師，你ê台語ná會聽起來chiah爾gāi-gio̍h？」，我才開始思考家己ê台語是m̄是有腔口ê問題，á-sī無夠標準？所以自彼層代誌了後，彼站仔我若是放假轉來tī厝裡，kap厝內ê老歲仔班泡茶開講，定定會聽著in講一寡仔gia̍t-khiat-á話，á-sī 俗語leh話仙、講笑，tú開始我若親像是「鴨仔leh聽雷」仝款，聽kah霧sà-sà，完全m̄知影in是leh講啥物？M̄-koh，我攏會去請教in彼句俗語是啥物意思，就按呢我對台語ê了解愈來愈濟、mā愈來愈有興趣。,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,Ū chi̍t pái，我kap阿母倒轉去草地看外公kap外媽，逐家當leh開講ê時，tú好講著我這站仔攏kap一寡仔序大leh學台語，阮外公連鞭講：「恁阿媽足gâu講謎猜，你叫伊kā你教。」一睏仔阮外媽就對伊嘴內講出規kōaⁿ ê台語謎猜出--來，我趕緊sa筆kā記--起-來，驚làu-kau--khì。就按呢，我又koh ke學著一項趣味ê台語文。俗語講：「老人m̄講古，少年m̄-bat寶。」老大人有足濟少年家m̄-bat ê智識kap經驗，值得咱去請教學習。阮外媽雖然無受過教育mā m̄-bat字，m̄-koh伊是一个足有智慧ê查某人，我對伊身軀頂學著足濟物件。,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,因為有這款ê緣分，koh ka上自細漢就愛tòe阿媽做伙看歌仔戲，tī大學mā有接觸過歌仔冊，所以我對台語文是愈學愈有興趣。這幾冬我mā開始chhōa學生仔參加台語朗讀ê比賽，tī過程中我認bat足濟ê台文字、白話字kap俗語，mā深深了解台語chiâⁿ-chò咱台灣人母語ê原因。,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,台語，有足媠ê聲音、特殊ê氣口，koh有各地無仝ê腔口，kap豐富多元ê台灣文化，是咱台灣人珍貴ê寶藏。所以咱應該ài好好á chhui-sak台語，m̄-nā 家己ài chia̍p講，mā ài教咱ê序細se̍k-sāi咱ê母語，hō͘ 台語m̄-nā bē斷根，koh會使kā咱ê祖先所留落來ê，重要ê財產傳承hō͘ 後一代，hō͘ 台語繼續tī台灣這塊美麗ê土地生湠結果。,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,台灣字（白話字）版,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"“Lāu-su, Lí ê Tâi-gí Ná-ē Thiaⁿ--khí-lâi Chia-ni̍h Gāi-gio̍h?”",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"Góa tú khai-sí kà-chheh ê sî, in-ūi sī tī lâm-pō͘ ê ha̍k-hāu ho̍k-bū, ūi-tio̍h beh kap ha̍k-seng-á ū kiōng-tông ê gí-giân, kap ka-tiúⁿ ū khah hó ê hō͘-tōng, só͘-tì góa khai-sí iōng Tâi-gí kap ka-tiúⁿ liân-lo̍k. Kap ha̍k-seng gín-á kóng-ōe mā chīn-liōng kóng Tâi-gí. M̄-koh, ē-kì-tit ū chi̍t pái góa tng-leh kap ha̍k-seng hú-tō khai-phòa ê sî, ha̍k-seng-á hiông-hiông kā góa ìn chi̍t kù kóng, “Lāu-su, lí ê Tâi-gí ná-ē thiaⁿ--khí-lâi chiah-ni̍h gāi-gio̍h?” Góe soah kui-ê gang--khì! Góa kóng ê Tâi-gí kám ē hō͘-lâng thiaⁿ bô?",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"Gún tau tòa tī Tâi-lâm, chū sè-hàn chhù-lāi ê sī-tōa-lâng kap gún gín-á kóng-ōe, sù-siông lóng mā sī kóng Tâi-gí. Só͘-í tāi-pō͘-hūn khah chia̍p iōng--tio̍h ê ji̍t-siông iōng-gí, gún phó͘-phó͘-á lóng chai. Sui-bóng sī tī chit chióng sì-kho͘-ûi-á lóng kóng bó-gí ê khoân-kéng lāi-té tōa-hàn--ê, m̄-koh gún-tau ê gín-á lóng-sī ē-hiáu thiaⁿ soah bô-siáⁿ ē-hiáu kóng. Ko-tiong pit-gia̍p liáu-āu, góa khó-tiâu Tâi-tiong ê tāi-ha̍k. Tī ha̍k-hāu kap lāu-su tông-o̍h lóng-sī ēng Hôa-gí leh kóng-ōe. In-ūi án-ni góa kóng Tâi-gí ê ki-hōe tō lú lâi lú chió ah. Só͘-í góa ê Tâi-gí bô-siáⁿ liàn-tńg, khiuⁿ-kháu mā ū tām-po̍h-á koài-koài.",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"Chū-chiông ha̍k-seng gín-á kóng ê hit kù ōe “Lāu-su, lí ê Tâi-gí ná-ē thiaⁿ--khí-lâi chiah-nī gāi-gio̍h?” góa chiah khai-sí su-khó ka-tī ê Tâi-gí sī-m̄-sī ū khiuⁿ-kháu ê būn-tê. Á-sī bô-kàu piau-chún? Só͘-í chū hit-chân tāi-chì liáu-āu, hit-chām-á góa nā-sī pàng-ká tńg-lâi chhù--lí, kap chhù-lāi ê lāu-hòe-á-pan phàu-tê  khai-káng, tiāⁿ-tiāⁿ ē thiaⁿ-tio̍h in kóng chi̍t-kóa-á gia̍t-khiat-á-ōe. Á-sī sio̍k-gí leh ōe-sian kóng-chhiò. Tú-khai-sí góa ná-chhin-chhiūⁿ “ah-á leh thiaⁿ-lûi” kāng-khoán, thiaⁿ kah bū-sà-sà! Oân-choân m̄ chai-iáⁿ in sī leh kóng siáⁿ-mi̍h? M̄-koh, góa lóng ē khì chhéng-kàu in hit kù ōe sī siáⁿ-mih ì-sù, tō-án-ne góa tùi Tâi-gí ê liáu-kái lú lâi lú chē, mā lú lâi lú ū hèng-chhù.",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"Ū chi̍t pái, góa kap a-bú tò-tńg-khì chháu-tē khòaⁿ gōa-kong kap gōa-má.  Tāi-ke tng-leh khai-káng ê sî, tú-hó kóng-tio̍h góa chit-chām-á lóng kap chi̍t-kóa-á sī-tōa leh o̍h Tâi-gì. Gún gōa-kong liam-mi tō kóng, “Lín a-má chiok-gâu kóng bī-chhai, lí kiò i kā lí kà.” Chi̍t-khùn-á gún gōa-má tō tùi i chhùi-lāi kóng-chhut kui-kōaⁿ ê Tâi-gí bī-chhai chhut-lâi. Góa kóaⁿ-kín sa pit kā kì--khí-lâi, kiaⁿ làu-kau--khì. Chiū-án-ne, góa iū-koh ke o̍h-tio̍h chi̍t hāng chhù-bī ê Tâi-gí-bûn. Sio̍k-gí kóng, “Lāu-lâng m̄ kóng-kó͘, siàu-liân m̄-bat pó.” Lāu-tōa-lâng ū chiok chē siàu-liân-ke m̄-bat ê tì-sek kap keng-giām, ta̍t-tit lán khì chhéng-kàu ha̍k-si̍p. Gún gōa-má sui-jiân bô siū-kòe kàu-io̍k mā m̄-bat jī, m̄-koh i sī chi̍t ê chiok ū tì-hūi ê cha-bó͘-lâng, góa tùi i ê sin-khu-téng o̍h-tio̍h chiok chē mi̍h-kiāⁿ.",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"In-ūi ū chit-khoán ê iân-hūn, koh ka-siōng chū sè-hàn tō chiok-ài tòe a-má chò-hóe khòaⁿ koa-á-hì, tī tāi-ha̍k mā ū chiap-chhiok kòe koa-á-chheh, só͘-í góa tùi Tâi-gí-bûn sī jú o̍h jú ū hèng-chhù. Chit kúi tang góa mā khai-sí chhōa ha̍k-seng-á chham-ka Tâi-gí lóng-tho̍k ê pí-sài. Tī kòe-têng tiong góa jīn-bat chiok chē ê Tâi-bûn-jī, Pe̍h-ōe-jī kap sio̍k-gí, mā chhim-chhim liáu-kái Tâi-gí chiâⁿ-chò lán Tâi-oân-lâng bó-gí ê goân-in.",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,"Tâi-gí, ū chiok súi ê siaⁿ-im, te̍k-sû ê khùi-kháu, koh ū kok-tē bô-kâng ê khiuⁿ-kháu, kap hong-hù to-goân ê Tâi-oân bûn-hòa, sī lán Tâi-oân-lâng tin-kùi ê pó-chōng. Só͘-í lán eng-kai ài hó-hó-á chhui-sak Tâi-gí. M̄-nā ka-kī ài chia̍p kóng, mā ài kà lán ê sī-sè se̍k-sāi lán ê bó-gí. Hō͘ Tâi-gí m̄-nā bē tn̄g-kin, koh ē-sái kā lán ê chó͘-sian só͘ lâu--lo̍h-lâi ê tiōng-iàu châi-sán thoân-sêng hō͘ āu chi̍t tāi. Hō͘ Tâi-gí kè-sio̍k tī Tâi-oân chit tè bí-lē ê thó͘-tē seⁿ-thòaⁿ kiat-kó.",https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】老師，你ê台語ná會聽--起來chiah爾gāi-gio̍h？,讀hōo你聽：,https://www.peoplemedia.tw/news/75df82d5-2e4a-4141-a03c-693ab1551d42
【台語世界／錄音】囡仔時ê記持,最近有看著一齣韓國ê連續劇叫Squid Game，戲內底有真chē我囡仔時耍過ê物件，囡仔時ê記持對我來講是有夠快樂，相信真濟人攏同款，m̄-koh時間soah一時仔著無--去ah，chiah一目𥍉仔kú， 我就已經是一个siap-gōa歲ê中年人ah，到今回想--起來也真趣味。,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,囡仔時ê娛樂，除了看bàng-gah，大部分攏是tī外口sńg。我koh ē 記 leh讀小學ê時，逐擺下課時間，足濟人就會走出去教室外口sńg，一直到上課摃鐘á chiah 趕緊chông轉去教室。放學kah放假ê時，厝邊頭尾ê囡仔mā會四界招伴，tī附近ê巷仔內、亭仔kha抑是空地仔chông來chông去teh𨑨迌，彼時我時常sńg--ê有掩咯雞、跳年、青紅燈、拍尪仔標、khian玻璃珠仔等等，koh有足濟好sńg ê物件。現此時想--起來，較早teh sńg ê 物仔，運動量真大，準做足簡單the sńg，mā會當sńg kàu大粒汗sè粒汗，天烏啊抑m̄情願倒轉去食飯歇睏，彼ê時陣ê囡仔攏無近視，體力mā ū-kàu hó。,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,倒轉來看這馬ê囡仔尚流行就是sńg手機仔ê電動，規工顧手機仔，目睭一直teh看小小ê手機仔畫面，m̄-nā目睭近視、定定攏坐siuⁿ久kap人mā無互動、kah開講，致使身軀kap心理攏有毛病。前一陣仔，為tio̍h beh hō͘讀小學ê後生m̄-thang koh sńg手機仔ê電動，kā伊chhōa出去外口sńg，我mā真傷腦筋，有一工雄雄想著，會當kā我囡仔時the sńg ê物件教hō͘伊 sńg bô？結果，後生m̄-nā無講mài，koh sńg kah無ài歇睏，這馬koh會主動chhōe我陪伊sńg，總是囡仔天生著是愛活動ê。,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,因為我囡仔時有真濟快樂ê記持，無煩無惱，所以家己ê後生mā想beh hō͘伊有快樂ê童年記持，會當hō͘伊大漢了後有感覺細漢ê時m̄-nā干焦sńg手機仔ê電動，koh有kap朋友做伙sńg物件ê快樂記持，這chiah是正港快樂ê囡仔時記持。,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,台灣字（白話字）版,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,Gín-á sî ê kì-tî,https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,"Chòe-kīn ū khòaⁿ-tio̍h chi̍t-chhut Hân-kok ê liân-sio̍k-kio̍k kiò “Squid Game”.  Hit-lāi té ū chin-chē góa gín-á sî sńg--kòe ê mi̍h-kiâⁿ. Gín-á sî ê kì-tî tùi góa lâi-kóng sī ū-kàu khoài-lo̍k. Siong-sìn chin-chē lâng lóng kāng khoán. M̄-koh sî-kan soah chi̍t-ē-á tio̍h bô--khì ah. Chiah chi̍t-ba̍k-nih kú, góa tio̍h í-keng sī chi̍t-ê siap-gōa hòe ê tiong-liân-lâng ah. Kàu-taⁿ hôe-sióng--kí-lâi iā chin chhù-bī.",https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
【台語世界／錄音】囡仔時ê記持,"Gín-á sî ê gô͘-lo̍k, tû-liáu khòaⁿ bàng-gah, tāi-pō͘-hūn lóng-sī tī gōa-kháu sńg. Góa koh ē-kì-tit tha̍k sió-ha̍k ê sî, ta̍k-pái hā-khò sî-kan, chiok-chē lâng  tio̍h ē cháu chhut-khì kàu-sek gōa-kháu sńg, it-tit kàu siōng-khò kòng-cheng á chiah kóaⁿ-kín chông tńg-khì kàu-sek. Pàng-o̍h kap pàng-ká ê sî, chhù-piⁿ thâu-bóe ê gín-á mā ê sì-kè chio-phōaⁿ, tī hù-kīn ê hāng-á-lāi, têng-á-kha ia̍h-sī khàng-tē-á chông-lâi chông-khì teh chhit-thô. Hit sî góa sî-siông sńg--ê ū am-kok-ke, thiàu-nî, chhiⁿ-âng-teng, phah ang-á-phiau, khian po-lê-chu-á téng-téng. Koh ū chiok-chē hó sńg ê mi̍h-kiâⁿ. Hiān-chhú-sî siūⁿ--khí-lâi, khah-chá teh sńg ê mi̍h-á ūn-tōng-liōng chin tōa. Chún-chò chiok kán-tan teh sńg, mā ē-tàng sńg kah tōa-lia̍p-kōaⁿ sè-lia̍p-kōaⁿ! Thiⁿ-o͘ a ia̍h m̄ chêng-goān  tò-tńg-khì chia̍h-pn̄g hioh-khùn. Hit ê sî-chūn ê gín-á long bô kīn-sī, thé-la̍t mā ū-kàu hó.",https://www.peoplemedia.tw/news/7eed7bbb-3197-438d-a37d-feeb9497c471
